"name","cleanm","cid","tid","MolecularWeight","Complexity"
"Oxymetazoline Hydrochloride","Oxymetazoline","4636","D09EBS",260.37,345
"Sodium Oxamate","Sodium Oxamate","5242",NA,111.03,90
"Oxybutynin Chloride","Oxybutynin Chloride","91505","D0R1DH",393.9,490
"Oxiracetam","Oxiracetam","4626","D0Z4BV",158.16,192
"Ouabain","Ouabain","439501","D0AR3J",584.7,1080
"Odq","Odq","1456","D0R3FS",187.15,337
"5-Methoxy DMT oxalate","5-Methoxy DMT","9944443",NA,308.33,292
"Metaproterenol hemisulfate","Metaproterenol","4086",NA,211.26,177
"Mianserin Hydrochloride","Mianserin","4184","D0R6RO",264.4,342
"Mevastatin","Mevastatin","64715","D0J9GD",390.5,637
"8-Methoxymethyl-3-isobutyl-1-methylxanthine","8-Methoxymethyl-3-isobutyl-1-methylxanthine","155806",NA,266.3,374
"MK-886","MK-886","3651377","D0K2ER",472.1,638
"Mexiletene hydrochloride","Mexiletene","21467",NA,215.72,139
"Methylergonovine maleate","Methylergonovine","8226","D05AHE",339.4,549
"Orphenadrine hydrochloride","Orphenadrine","4601","D0D9FV",269.4,260
"Tg003","Tg003","1893668","D06MBI",249.33,329
"Ofloxacin","Ofloxacin","4583","D03NHW",361.4,634
"Oxotremorine Sesquifumarate Salt","Oxotremorine","4630","D0L1XR",206.28,293
"*(S)Oxatomide","Oxatomide","4615","D0AJ5L",426.6,575
"SB 216763","SB 216763","176158","D0A1YQ",371.2,621
"Oxaprozin","Oxaprozin","4614","D0M9DC",293.3,361
"Oxotremorine methiodide","Oxotremorine methiodide","3027782",NA,322.19,277
"Molsidomine","Molsidomine","5353788","D08VXL",242.23,270
"3-Methyl-6-(3-[Trifluoromethyl]Phenyl)-1,2,4-Triazolo[4,3-B]Pyridazine","3-Methyl-6-(3-[Trifluoromethyl]Phenyl)-1,2,4-Triazolo[4,3-B]Pyridazine","6603922",NA,278.23,341
"Mizoribine","Mizoribine","104762","D0G5AG",259.22,329
"S-Methylisothiourea hemisulfate","Methylisothiourea","2723704",NA,90.15,42
"N-Methyl-D-aspartic acid","N-Methyl-D-aspartic acid","22880","D06GKL",147.13,145
"alpha-Methyl-DL-tyrosine methyl ester hydrochloride","alpha-Methyl-DL-tyrosine methyl ester","2112",NA,209.24,224
"ML 10302","ML 10302","5311299","D06HYB",312.79,337
"(±)-Octoclothepin maleate","Octoclothepin","1238","D0D3YN",344.9,399
"Progesterone","Progesterone","5994","D07BSQ",314.5,589
"Palmitoylethanolamide","Palmitoylethanolamide","4671","D07ILQ",299.5,219
"Piceatannol","Piceatannol","667639","D0O0VZ",244.24,282
"Pentamidine Isethionate","Pentamidine Isethionate","8813",NA,592.7,493
"TBB","TBB","1694","D0O1YH",434.71,184
"Parthenolide","Parthenolide","7251185","D0M4KE",248.32,437
"Metergoline","Metergoline","28693","D0UA0I",403.5,607
"Clorgyline Hydrochloride","Clorgyline","4380","D09QDP",272.17,263
"MRS 2179","MRS 2179","5311302",NA,459.29,613
"Meloxicam sodium","Meloxicam","54677470","D0G7FJ",351.4,628
"Morin","Morin","5281670","D0NJ4H",302.23,488
"3-Methoxy-4-hydroxyphenethylamine hydrochloride","3-Methoxy-4-hydroxyphenethylamine","1669","D09ERP",167.2,130
"O-Phospho-L-serine","O-Phospho-L-serine","68841","D07PZQ",185.07,186
"(±)-Propranolol hydrochloride","Propranolol","4946","D04JEE",259.34,257
"SKF-525A hydrochloride","SKF-525A","65341",NA,390,375
"Picrotoxin","Picrotoxin","31304","D0KR9U",602.6,1290
"4-Phenyl-3-furoxancarbonitrile","4-Phenyl-3-furoxancarbonitrile","1756",NA,187.15,244
"Pentoxifylline","Pentoxifylline","4740","D03XTA; D09QEI",278.31,426
"L-Glutamic acid, N-phthaloyl-","Glutamic acid, N-phthaloyl-","160453",NA,277.23,436
"Meclofenamic acid sodium","Meclofenamic acid","4037","D08IFL",296.1,327
"Milrinone","Milrinone","4197","D0Y9ZE",211.22,419
"(±)-alpha-Methyl-4-carboxyphenylglycine","alpha-Methyl-4-carboxyphenylglycine","1222",NA,209.2,271
"1-Methylhistamine dihydrochloride","1-Methylhistamine","3614","D0A4XL",125.17,84
"Moxisylyte hydrochloride","Moxisylyte","4260","D0A7QN",279.37,304
"S-Methyl-L-thiocitrulline acetate","Methyl-L-thiocitrulline acetate","11957614",NA,265.33,227
"L-Methionine sulfoximine","Methionine sulfoximine","16118",NA,180.23,244
"Pancuronium Bromide","Pancuronium Bromide","27350",NA,732.7,1000
"3-alpha,21-Dihydroxy-5-alpha-pregnan-20-one","3-alpha,21-Dihydroxy-5-alpha-pregnan-20-one","11957655",NA,334.5,517
"Pirfenidone","Pirfenidone","40632","D02WCI",185.22,285
"1,3-Dimethyl-8-phenylxanthine","1,3-Dimethyl-8-phenylxanthine","1922","D0V8MD",256.26,394
"PRE-084","PRE-084","126402","D01KIU",317.4,367
"PPNDS tetrasodium","PPNDS","5311367",NA,694.4,1170
"PD 404,182","PD 404,182","6603967",NA,217.29,313
"Papaverine Hydrochloride","Papaverine","4680","D0NJ3V",339.4,407
"(±)-Metoprolol (+)-tartrate","Metoprolol","4171","D0I2MK",267.36,215
"Mibefradil Dihydrochloride","Mibefradil","60663","D0W8XT",495.6,709
"N6-Methyladenosine","N6-Methyladenosine","102175",NA,281.27,349
"(S)-MAP4 hydrochloride","MAP4","1795545","D09SXN",197.13,224
"(?)-Methoxyverapamil Hydrochloride","Methoxyverapamil","1234","D00ERV",484.6,639
"Metrazoline Oxalate","Metrazoline","11957617",NA,276.29,314
"Gw9662","Gw9662","644213","D00ACX",276.67,339
"Pentolinium di[L(+)-tartrate]","Pentolinium","5850","D0IX1A",240.43,201
"1-Phenyl-3-(2-thiazolyl)-2-thiourea","1-Phenyl-3-(2-thiazolyl)-2-thiourea","719408",NA,235.3,217
"Thiolactomycin","Thiolactomycin","135403829","D04JTY",210.29,352
"Cisplatin","Cisplatin","5702198","D0U5HU",300.05,2
"Podophyllotoxin","Podophyllotoxin","10607","D0D4HN",414.4,629
"SU 9516","SU 9516","5289419","D0L3FK",241.24,369
"Palmitoyl-DL-Carnitine chloride","Palmitoyl-DL-Carnitine","461",NA,399.6,398
"R(-)-N6-(2-Phenylisopropyl)adenosine","N6-(2-Phenylisopropyl)adenosine","11957661",NA,385.4,509
"MRS 1754","MRS 1754","6603931","D01QYQ",486.5,843
"2-Methoxyestradiol","2-Methoxyestradiol","66414","D06NYA; D0E6VS",302.4,425
"Cysteamine hydrochloride","Cysteamine","6058","D0V0LB",77.15,10
"alpha,beta-Methylene adenosine 5-triphosphate dilithium","alpha,beta-Methylene adenosine 5-triphosphate dilithium","11957603",NA,517.1,789
"Methoxamine hydrochloride","Methoxamine","6082","D09GYT",211.26,189
"Mitoxantrone","Mitoxantrone","4212","D0R3JB",444.5,571
"O-Methylserotonin hydrochloride","O-Methylserotonin","1833","D04AQE",190.24,186
"Se-(methyl)selenocysteine hydrochloride","Se-(methyl)selenocysteine","11957622",NA,218.55,86
"Praziquantel","Praziquantel","4891","D0L9ZR",312.4,472
"5alpha-Pregnan-3alpha-ol-11,20-dione","5alpha-Pregnan-3alpha-ol-11,20-dione","104845","D06UBH",332.5,569
"Pempidine tartrate","Pempidine","6603",NA,155.28,131
"Piracetam","Piracetam","4843","D0Q4YK",142.16,167
"Phosphomycin disodium","Phosphomycin","446987","D01GYT",138.06,138
"MDL 28170","MDL 28170","72430","D0G5ZE",382.5,497
"Myricetin","Myricetin","5281672","D0T3PW",318.23,506
"NG-Monomethyl-L-arginine acetate","NG-Monomethyl-L-arginine acetate","135242","D06OQI",248.28,224
"Mk-912","Mk-912","189711","D0Y4LU",339.4,555
"(±)-3-(3,4-dihydroxyphenyl)-2-methyl-DL-alanine","3-(3,4-dihydroxyphenyl)-2-methyl-DL-alanine","4138",NA,211.21,246
"MRS 2159","MRS 2159","135484644",NA,461.21,592
"Gr 127935 Hydrochloride","Gr 127935","107780","D06DZI",497.6,739
"2,6-Difluoro-4-[2-(phenylsulfonylamino)ethylthio]phenoxyacetamide","2,6-Difluoro-4-[2-(phenylsulfonylamino)ethylthio]phenoxyacetamide","6603828",NA,402.4,541
"Pyrilamine maleate","Pyrilamine","4992","D08JZS",285.4,277
"Piroxicam","Piroxicam","54676228","D00IBN",331.3,611
"3-n-Propylxanthine","3-n-Propylxanthine","1676","D09AMZ; D0FK2Q",194.19,268
"Phenylephrine hydrochloride","Phenylephrine","6041","D0O6IU",167.2,130
"Pentylenetetrazole","Pentylenetetrazole","5917",NA,138.17,116
"(+)-Pilocarpine hydrochloride","Pilocarpine","5910","D06HLY",208.26,245
"Pilocarpine nitrate","Pilocarpine nitrate","657349",NA,271.27,270
"Promazine Hydrochloride","Promazine","4926","D00NAX",284.4,285
"Phenelzine Sulfate","Phenelzine Sulfate","61100",NA,234.28,159
"Pheniramine Maleate","Pheniramine","4761","D04OBB",240.34,221
"Phosphonoacetic acid","Phosphonoacetic acid","546",NA,140.03,133
"(-)-Perillic acid","Perillic acid","1256",NA,166.22,238
"Pyrazinecarboxamide","Pyrazinecarboxamide","1046","D0XF8W",123.11,115
"Primidone","Primidone","4909","D0U5RT",218.25,279
"(±)-threo-1-Phenyl-2-decanoylamino-3-morpholino-1-propanol hydrochloride","threo-1-Phenyl-2-decanoylamino-3-morpholino-1-propanol","114736",NA,425,403
"SU 4312","SU 4312","6450842",NA,264.32,394
"SR 59230A oxalate","SR 59230A","9888075",NA,415.5,433
"BRL 52537 hydrochloride","BRL 52537","5244802",NA,355.3,401
"SKF 89976A hydrochloride","SKF 89976A","92409","D08YGM",335.4,427
"1-(1-Naphthyl)piperazine hydrochloride","1-(1-Naphthyl)piperazine","1342","D03TDN",212.29,223
"Ketanserin Tartrate","Ketanserin Tartrate","135348",NA,545.5,761
"Pirenzepine dihydrochloride","Pirenzepine","4848","D0T0LM",351.4,534
"Putrescine dihydrochloride","Putrescine","1045","D00FMV",88.15,17
"Phentolamine mesylate","Phentolamine mesylate","91430",NA,377.5,456
"Propionylpromazine Hydrochloride","Propionylpromazine","24352",NA,340.5,428
"Phloretin","Phloretin","4788","D0HD2G",274.27,312
"Pargyline hydrochloride","Pargyline","4688","D0R0UJ",159.23,159
"Phorbol 12-myristate 13-acetate","Phorbol 12-myristate 13-acetate","27924","D09DHT",616.8,1150
"1-(2-Methoxyphenyl)piperazine hydrochloride","1-(2-Methoxyphenyl)piperazine","1346","D0V4RP",192.26,169
"*(S)Papp","Papp","121930","D0T4PS",349.4,399
"Spiroxatrine","Spiroxatrine","5268","D0MU4A",379.5,557
"SR-95531","SR-95531","107896","D0L1BW",287.31,451
"(?)-6-Chloro-Pb Hydrobromide","6-Chloro-Pb","1218","D02DHU",289.75,322
"SKF 91488 dihydrochloride","SKF 91488","5227","D0F0ZX",175.3,114
"Suramin hexasodium","Suramin hexasodium","8514",NA,1429.2,2940
"SQ 22536","SQ 22536","5270",NA,205.22,239
"1,3-Pbit Dihydrobromide","1,3-Pbit Dihydrobromide","11957662",NA,444.3,257
"Protoporphyrin Ix Disodium","Protoporphyrin Ix Disodium","4971","D0AF3A",562.7,1010
"*(H)1,4-Pbit Dihydrobromide","1,4-Pbit Dihydrobromide","11957667",NA,444.3,247
"Phenylbutazone","Phenylbutazone","4781","D07VHR",308.4,389
"Picotamide","Picotamide","4814",NA,376.4,516
"Tranylcypromine Hydrochloride","Tranylcypromine","19493","D0H0HJ",133.19,116
"Ammonium pyrrolidinedithiocarbamate","Ammonium pyrrolidinedithiocarbamate","517348",NA,164.3,91
"Sepiapterin","Sepiapterin","135398579",NA,237.22,491
"R(-)-Sch-12679 Maleate","Sch-12679","5024","D0P2YV",297.4,342
"(?)-Skf 38393, N-Allyl-, Hydrobromide","Skf 38393, N-Allyl-,","11957703",NA,376.3,366
"SDZ-205,557 hydrochloride","SDZ-205,557","5191","D0W8EP",300.78,300
"Sb 206553 Hydrochloride","Sb 206553","5163","D03YPJ",292.33,429
"SB 224289 hydrochloride","SB 224289","3378093","D09PIN",520.6,885
"L-Tryptophan","Tryptophan","6305","D05EJG",204.22,245
"Tranilast","Tranilast","5282230","D0E6OC",327.3,464
"(±)-cis-Piperidine-2,3-dicarboxylic acid","Piperidine-2,3-dicarboxylic acid","1226",NA,173.17,204
"Pergolide Methanesulfonate","Pergolide Methanesulfonate","47812",NA,410.6,480
"6(5H)-Phenanthridinone","6(5H)-Phenanthridinone","1853",NA,195.22,263
"5alpha-Pregnan-3alpha-ol-20-one","5alpha-Pregnan-3alpha-ol-20-one","9883500",NA,318.5,500
"Propantheline bromide","Propantheline bromide","9279",NA,448.4,474
"Piperidine-4-sulphonic acid","Piperidine-4-sulphonic acid","4838","D0VW5M",165.21,187
"Prochlorperazine dimaleate","Prochlorperazine dimaleate","5281032",NA,606.1,548
"Tiapride hydrochloride","Tiapride","5467","D02LCR",328.4,443
"Taurine","Taurine","1123","D0C6IE",125.15,120
"Thiothixene hydrochloride","Thiothixene","941651","D0E0LQ",443.6,711
"Tetraethylthiuram disulfide","Tetraethylthiuram disulfide","3117","D0X5SD",296.5,201
"Tcpobop","Tcpobop","5382","D02BPI",402.1,362
"Tetraisopropyl pyrophosphoramide","Tetraisopropyl pyrophosphoramide","5420","D09QDC",342.36,336
"Tetramisole hydrochloride","Tetramisole","3913",NA,204.29,246
"Piribedil Maleate","Piribedil","4850","D07GXY",298.34,356
"Paromomycin sulfate","Paromomycin","165580","D04NDM",615.6,870
"1,10-Phenanthroline monohydrate","1,10-Phenanthroline","1318",NA,180.2,183
"Prilocaine hydrochloride","Prilocaine","4906","D06LYG",220.31,218
"Propentofylline","Propentofylline","4938","D0UU9Y",306.36,454
"Pyridostigmine bromide","Pyridostigmine bromide","7550","D09KKU",261.12,183
"Trihexyphenidyl Hydrochloride","Trihexyphenidyl","5572","D09GFL",301.5,314
"Theophylline","Theophylline","2153","D0DF2M; D0F8RA",180.16,267
"(E)-4-amino-2-butenoic acid","4-amino-2-butenoic acid","2766",NA,101.1,87
"Tetradecylthioacetic acid","Tetradecylthioacetic acid","114924",NA,288.5,195
"Trequinsin hydrochloride","Trequinsin","5537","D01FRF",405.5,709
"Tyrphostin AG 879","Tyrphostin AG 879","135419190",NA,316.5,477
"Tetraethylammonium chloride","Tetraethylammonium","5413","D06PZZ",130.25,47
"Procaine hydrochloride","Procaine","4914","D0TZ1G",236.31,222
"2-Phenylaminoadenosine","2-Phenylaminoadenosine","6917803","D06NRX",358.35,482
"(±)-PPHT hydrochloride","PPHT","1240",NA,309.4,339
"3-Phenylpropargylamine hydrochloride","3-Phenylpropargylamine","1681",NA,131.17,143
"N6-2-Phenylethyladenosine","N6-2-Phenylethyladenosine","9929340",NA,371.4,481
"N6-Phenyladenosine","N6-Phenyladenosine","101430",NA,343.34,452
"Terbutaline hemisulfate","Terbutaline","5403","D0M8RC",225.28,205
"*(D)Trimipramine Maleate","Trimipramine","5584","D00HZV",294.4,317
"Tyrphostin AG 490","Tyrphostin AG 490","5328779","D0GZ7B",294.3,460
"TTNPB","TTNPB","5289501","D0G6JM",348.5,549
"L-765,314","765,314","6603904","D09ZUW",522.6,803
"Triamterene","Triamterene","5546","D00NKB",253.26,307
"Phaclofen","Phaclofen","1641","D02HNM",249.63,238
"BF-170 hydrochloride","BF-170","16219029",NA,256.73,245
"1-Phenylbiguanide","1-Phenylbiguanide","4780","D0H4NK",177.21,211
"Skf 94836","Skf 94836","72124","D0Q7VI",284.32,495
"Pirenperone","Pirenperone","4847","D00PEU",393.5,782
"IC 261","IC 261","5288600","D0UN8H",311.3,450
"A3 hydrochloride","A3","245869",NA,520.6,818
"Tyrphostin AG 1478","Tyrphostin AG 1478","2051","D0ZH1U",315.75,360
"Tetrahydrozoline hydrochloride","Tetrahydrozoline","5419","D05IHU",200.28,259
"Tyrphostin Ag 494","Tyrphostin Ag 494","5328771",NA,280.28,446
"N-p-Tosyl-L-phenylalanine chloromethyl ketone","N-p-Tosyl-L-phenylalanine chloromethyl ketone","439647",NA,351.8,475
"(6R)-5,6,7,8-Tetrahydro-L-biopterin hydrochloride","5,6,7,8-Tetrahydro-L-biopterin","135444567",NA,314.17,405
"Tyrphostin AG 527","Tyrphostin AG 527","5328772",NA,308.3,488
"Theobromine","Theobromine","5429","D09QNH; D0I0DS",180.16,267
"(±)-Taxifolin","Taxifolin","439533",NA,304.25,428
"Pregnenolone sulfate sodium","Pregnenolone","8955","D0B4RU",316.5,550
"PPADS","PPADS","4881","D07QYU",511.4,956
"S(+)-Pd 128,907 Hydrochloride","Pd 128,907","5311346",NA,249.3,286
"Phenamil Methanesulfonate","Phenamil Methanesulfonate","135419184",NA,401.83,492
"Phenylbenzene-omega-phosphono-alpha-amino acid","Phenylbenzene-omega-phosphono-alpha-amino acid","4779","D0AD1L",335.29,452
"Phthalamoyl-L-glutamic acid trisodium","Phthalamoyl-L-glutamic acid trisodium","11957675",NA,361.19,418
"PD 98,059","PD 98,059","4713","D9ILC1",267.28,407
"Tyrphostin AG 528","Tyrphostin AG 528","1838043",NA,306.3,536
"*(S)Terazosin Hydrochloride","Terazosin","5401","D0P9RF",387.4,544
"Tyrphostin AG 537","Tyrphostin AG 537","5329255",NA,448.4,797
"Tyrphostin AG 555","Tyrphostin AG 555","5328770",NA,322.4,488
"Tyrphostin AG 698","Tyrphostin AG 698","5328773",NA,308.3,474
"Tyrphostin AG 808","Tyrphostin AG 808","5329275",NA,304.3,536
"Thio-NADP sodium","Thio-NADP","11957709",NA,781.5,1300
"Tyrphostin AG 835","Tyrphostin AG 835","5328769",NA,308.3,488
"Pd 168,077 Maleate","Pd 168,077","3645619","D0G8VU",334.4,491
"SU 6656","SU 6656","5312137","D0CE3R",371.5,697
"Quinolinic acid","Quinolinic acid","1066","D0L8CF",167.12,204
"Quercetin dihydrate","Quercetin","5280343","D0K8KX; D0Y3DN",302.23,488
"Quinidine Sulfate","Quinidine Sulfate","441326",NA,746.9,538
"(+)-Quisqualic acid","Quisqualic acid","40539","D06DUE",189.13,265
"(±)-alpha-Lipoic Acid","alpha-Lipoic Acid","864","D0P6PQ",206.3,150
"DL-Thiorphan","DL-Thiorphan","3132","D0PB5Q",253.32,265
"Tulobuterol hydrochloride","Tulobuterol","5606",NA,227.73,191
"Tyrphostin AG 34","Tyrphostin AG 34","667645",NA,216.19,355
"Triamcinolone","Triamcinolone","31307","D03BLF",394.4,807
"S(-)-Timolol maleate","Timolol","33624","D05UVD",316.42,310
"N,N,N-trimethyl-1-(4-trans-stilbenoxy)-2-propylammonium iodide","N,N,N-trimethyl-1-(4-trans-stilbenoxy)-2-propylammonium","5840039",NA,296.4,330
"Quinacrine Dihydrochloride","Quinacrine","237","D0O2DQ",400,461
"Quazinone","Quazinone","135418296",NA,235.67,357
"(-)-Quinpirole Hydrochloride","Quinpirole","54562","D0H2WQ",219.33,243
"Quipazine, 6-Nitro-, Maleate","Quipazine, 6-Nitro-,","11957672",NA,374.3,446
"Quinelorane Dihydrochloride","Quinelorane","57242","D0Z2WQ",246.35,283
"Cortexolone","Cortexolone","440707","D0GW2Y",346.5,652
"Triprolidine hydrochloride","Triprolidine","5282443","D0E8CI",278.4,336
"Tyrphostin AG 112","Tyrphostin AG 112","5328804","D02KVB",236.23,505
"Tyrphostin 1","Tyrphostin 1","2063","D0H3UI",184.19,289
"Tyrphostin 23","Tyrphostin 23","2052","D0A0JL",186.17,313
"TFPI hydrochloride","TFPI","2733516",NA,284.73,245
"Na-p-Tosyl-L-lysine chloromethyl ketone hydrochloride","Na-p-Tosyl-L-lysine chloromethyl ketone","73093",NA,369.3,414
"Tyrphostin 25","Tyrphostin 25","2061","D02BUW",202.17,329
"1-[2-(Trifluoromethyl)phenyl]imidazole","1-[2-(Trifluoromethyl)phenyl]imidazole","1359","D0B3AR",212.17,217
"Ritodrine hydrochloride","Ritodrine","33572","D00LFB",287.35,284
"Raloxifene hydrochloride","Raloxifene","5035","D01XBA",473.6,655
"Retinoic acid","Retinoic acid","444795","D02DGU",300.4,567
"Ruthenium red","Ruthenium red","140512417",NA,808.4,23
"13-Cis-Retinoic Acid","13-Cis-Retinoic Acid","5282379","D00DKK",300.4,567
"Rutaecarpine","Rutaecarpine","65752",NA,287.3,517
"Ropinirole Hydrochloride","Ropinirole","5095","D0R9EQ",260.37,287
"Resveratrol","Resveratrol","445154","D0U3EP",228.24,246
"Taxol","Taxol","36314","D0C4RB; D00ZBZ; D0S1FM",853.9,1790
"Tetracaine hydrochloride","Tetracaine","5411","D08HQK",264.36,249
"Tyrphostin 47","Tyrphostin 47","667601","D0Q3GG",220.25,332
"Tyrphostin 51","Tyrphostin 51","5328807",NA,268.23,565
"T-1032","T-1032","9874535",NA,665.7,1040
"I-Ome-Tyrphostin Ag 538","I-Ome-Tyrphostin Ag 538","5353685",NA,437.18,542
"Tyrphostin AG 538","Tyrphostin AG 538","5328760","D0NH7M",297.26,494
"Trimethoprim","Trimethoprim","5578","D0AO5H",290.32,307
"REV 5901","REV 5901","5059","D0O8ZE",335.4,375
"Rottlerin","Rottlerin","5281847","D0QR0U; D0R1JI",516.5,921
"Ranolazine dihydrochloride","Ranolazine","56959","D03HYQ",427.5,531
"Rolipram","Rolipram","5092","D0T5PO",275.34,341
"Ro 25-6981 hydrochloride","Ro 25-6981","6604887","D0K0DB",339.5,366
"Phosphoramidon disodium","Phosphoramidon","445114","D09NAJ",543.5,848
"Rotenone","Rotenone","6758","D0F7CS",394.4,664
"T-0156","T-0156","5368","D0LZ5R",583.6,978
"3-Tropanyl-3,5-dichlorobenzoate","3-Tropanyl-3,5-dichlorobenzoate","671690","D0V3GT",314.2,355
"Trifluoperazine dihydrochloride","Trifluoperazine","5566","D0R4OM",407.5,510
"D-609 potassium","D-609","4234241","D0W1AW",266.5,271
"Tyrphostin AG 126","Tyrphostin AG 126","2046",NA,215.16,388
"Ro 8-4304","Ro 8-4304","9799515","D04EKZ",370.4,512
"Rx 821002 Hydrochloride","Rx 821002","108094","D08KLH",234.25,321
"Ribavirin","Ribavirin","37542","D0H3WI",244.2,304
"Rauwolscine hydrochloride","Rauwolscine","643606","D0Z7EA",354.4,555
"Ro 16-6491 hydrochloride","Ro 16-6491","5702251",NA,235.11,167
"Ro 41-1049 hydrochloride","Ro 41-1049","5086",NA,265.31,293
"Tamoxifen citrate","Tamoxifen","2733526","D07KSG",371.5,463
"Tropicamide","Tropicamide","5593","D09PNY",284.35,310
"THIP hydrochloride","THIP","3448","D00EEL",140.14,210
"Trifluperidol hydrochloride","Trifluperidol","5567","D0I8FV",409.4,537
"3-Tropanyl-indole-3-carboxylate hydrochloride","3-Tropanyl-indole-3-carboxylate","9818540",NA,320.8,400
"Tracazolate","Tracazolate","5522","D01ICF",304.39,366
"3-Tropanylindole-3-carboxylate methiodide","3-Tropanylindole-3-carboxylate methiodide","11957728",NA,426.3,434
"Ro 41-0960","Ro 41-0960","3495594",NA,277.2,385
"Reactive Blue 2","Reactive Blue 2","656725",NA,774.2,1640
"Risperidone","Risperidone","5073","D01AZG",410.5,731
"S(+)-Raclopride L-tartrate","Raclopride L-tartrate","11663304",NA,497.3,520
"Sobuzoxane","Sobuzoxane","5233",NA,514.5,743
"Rilmenidine hemifumarate","Rilmenidine","68712","D06OFS",180.25,219
"R(-)-Denopamine","Denopamine","5311064","D0Q9ON",317.4,320
"Telenzepine dihydrochloride","Telenzepine","5387","D0FX4J",370.5,552
"(±)-Thalidomide","Thalidomide","5426","D0U7GK; D00DDR",258.23,449
"R(+)-Terguride","Terguride","443951","D01ZOB",340.5,494
"Thiocitrulline","Thiocitrulline","3353976","D0E0QG",191.25,174
"Tyrphostin A9","Tyrphostin A9","5614",NA,282.4,459
"TPMPA","TPMPA","5521","D0U4HM",161.14,200
"U-75302","U-75302","9928898",NA,361.5,384
"Ro 04-6790 dihydrochloride","Ro 04-6790","5312145","D0P8JA",308.36,418
"(±)-Sotalol hydrochloride","Sotalol","5253","D04VMT",272.37,330
"SB-366791","SB-366791","667594",NA,287.74,337
"Sodium nitroprusside dihydrate","Sodium nitroprusside","11953895","D07XVR",297.95,119
"(±)-Synephrine","Synephrine","7172",NA,167.2,122
"Sulfaphenazole","Sulfaphenazole","5335","D0A4YE",314.4,451
"Seglitide","Seglitide","5311430","D09JXL",809,1430
"Sulindac sulfone","Sulindac sulfone","5472495","D0M9VE",372.4,723
"Uridine 5-diphosphate sodium","Uridine 5-diphosphate","122198455",NA,426.14,688
"U-74389G maleate","U-74389G","9896684",NA,726.9,1380
"U-83836 dihydrochloride","U-83836","107656","D09BRE",593.6,783
"U-73122","U-73122","104794","D04POR",464.6,763
"SKF 95282 dimaleate","SKF 95282 dimaleate","11957725",NA,613.7,551
"4-Imidazoleacrylic acid","4-Imidazoleacrylic acid","736715",NA,138.12,156
"Urapidil hydrochloride","Urapidil","5639","D0K0VO",387.5,588
"Urapidil, 5-Methyl-","Urapidil, 5-Methyl-","5640","D0V6DJ",401.5,630
"Skf 86466","Skf 86466","123981","D06UBB",195.69,172
"SR 57227A","SR 57227A","131746",NA,248.15,180
"(-)-Scopolamine hydrobromide","Scopolamine","3000322","D0B7YT",303.35,418
"SC-560","SC-560","4306515","D0M5MI",352.7,407
"Semicarbazide hydrochloride","Semicarbazide","5196","D0A4IY",75.07,42
"(-)-Scopolamine methyl nitrate","Scopolamine methyl nitrate","657297",NA,380.4,472
"DL-Stearoylcarnitine chloride","DL-Stearoylcarnitine","5702250",NA,464.1,431
"U-69593","U-69593","105104","D0V3OY",356.5,485
"Uk 14,304","Uk 14,304","2435","D0AE3X",292.13,308
"U-62066","U-62066","11957718",NA,521.5,649
"S(-)-Uh-301 Hydrochloride","Uh-301","122187","D06ROA",265.37,268
"(-)-Trans-(1S,2S)-U-50488 Hydrochloride","Trans-(1S,2S)-U-50488","9931141",NA,405.8,428
"U-101958 maleate","U-101958","5615","D0AX0K",339.5,375
"Spermidine trihydrochloride","Spermidine trihydrochloride","9539",NA,254.6,56
"Snc80","Snc80","123924","D0Y7CI",449.6,614
"SKF 83959 hydrobromide","SKF 83959","133538","D0L3MJ",317.8,380
"Spermine Tetrahydrochloride","Spermine Tetrahydrochloride","9384",NA,348.2,86
"Skf 75670 Hydrobromide","Skf 75670","173870",NA,350.2,316
"SC 19220","SC 19220","4336830","D0OA8M",331.75,462
"Skf 89626","Skf 89626","10220536",NA,247.31,276
"Skf 83565 Hydrobromide","Skf 83565","11957697",NA,419.1,384
"U-99194A maleate","U-99194A","119195","D0T3JW",313.9,258
"U0126","U0126","3006531","D0GD8Y",380.5,610
"Vinblastine sulfate salt","Vinblastine","13342","D0W9MM",811,1700
"(?)-Verapamil Hydrochloride","Verapamil","2520","D0R0FE",454.6,606
"VUF 5574","VUF 5574","4046493","D01AAI",371.4,519
"Vinpocetine","Vinpocetine","443955","D06BCB",350.5,617
"Vancomycin hydrochloride from Streptomyces orientalis","Vancomycin hydrochloride from Streptomyces orientalis","6420023","D0B5GS",1485.7,2960
"(?)-Gamma-Vinyl Gaba","Gamma-Vinyl Gaba","5665","D0R3QY",129.16,112
"SB 204070 hydrochloride","SB 204070","121880","D0N8EL",419.3,459
"N-Oleoyldopamine","N-Oleoyldopamine","5282106","D0M4IF",417.6,438
"Spironolactone","Spironolactone","5833","D0EP0C",416.6,818
"SCH-202676 hydrobromide","SCH-202676","11957689",NA,348.3,366
"D-Serine","D-Serine","71077","D02UDJ",105.09,72
"Albuterol hemisulfate","Albuterol","2083","D0K5CB",239.31,227
"Sanguinarine chloride","Sanguinarine","5154","D0T3NB",332.3,530
"N-Succinyl-L-proline","N-Succinyl-L-proline","194156",NA,215.2,288
"Vincristine sulfate","Vincristine","5978","D09QVV",825,1750
"N-Vanillylnonanamide","N-Vanillylnonanamide","2998",NA,293.4,283
