"cid","tid","indication","approval"
4212,"D0R3JB","Non-hodgkin lymphoma","Phase 1/2"
4891,"D0L9ZR","Flatworm infection","Approved"
4843,"D0Q4YK","Cognitive impairment","Approved"
446987,"D01GYT","Bacterial infection","Approved"
72430,"D0G5ZE","Alzheimer disease","Terminated"
135242,"D06OQI","Myocardial infarction","Phase 3"
135242,"D06OQI","Angina pectoris","Discontinued in Phase 2"
107780,"D06DZI","Major depressive disorder","Terminated"
4992,"D08JZS","Allergy","Approved"
54676228,"D00IBN","Pain","Approved"
1676,"D09AMZ; D0FK2Q","Asthma","Approved"
6041,"D0O6IU","Fecal incontinence","Approved"
6041,"D0O6IU","Ophthalmic graves disease","Approved"
5910,"D06HLY","Glaucoma/ocular hypertension","Approved"
4926,"D00NAX","Psychomotor agitation","Approved"
4761,"D04OBB","Hay fever","Approved"
1046,"D0XF8W","Mycobacterium infection","Approved"
4909,"D0U5RT","Epilepsy","Approved"
4848,"D0T0LM","Peptic ulcer","Approved"
1045,"D00FMV","Burn and burn infection","Discontinued in Phase 2"
4688,"D0R0UJ","Hypertension","Approved"
4688,"D0R0UJ","Skin imperfections","Patented"
4688,"D0R0UJ","Muscular dystrophy","Patented"
27924,"D09DHT","Acute myeloid leukaemia","Phase 2"
27924,"D09DHT","Hodgkin lymphoma","Phase 2"
1218,"D02DHU","Parkinson disease","Terminated"
4781,"D07VHR","Chronic pain","Approved"
19493,"D0H0HJ","Major depressive disorder","Approved"
19493,"D0H0HJ","Prostate cancer","Patented"
6305,"D05EJG","Depression","Approved"
5282230,"D0E6OC","Ocular allergy","Approved"
5467,"D02LCR","Alcohol dependence","Approved"
5467,"D02LCR","Neuropathic pain","Phase 1"
941651,"D0E0LQ","Schizophrenia","Approved"
3117,"D0X5SD","Alcohol dependence","Approved"
165580,"D04NDM","Intestinal amebiasis","Approved"
4906,"D06LYG","Pain","Approved"
4938,"D0UU9Y","Alzheimer disease","Approved"
5572,"D09GFL","Dystonia","Approved"
5572,"D09GFL","Parkinson disease","Approved"
5572,"D09GFL","Obesity","Investigative"
2153,"D0DF2M; D0F8RA","Chronic obstructive pulmonary disease","Approved"
4914,"D0TZ1G","Anaesthesia","Approved"
5403,"D0M8RC","Asthma","Approved"
5584,"D00HZV","Major depressive disorder","Approved"
5328779,"D0GZ7B","Multiple myeloma","Terminated"
5328779,"D0GZ7B","Renal transplantation","Terminated"
5546,"D00NKB","Congestive heart failure","Approved"
5546,"D00NKB","Edema","Approved"
5546,"D00NKB","Hypertension","Approved"
72124,"D0Q7VI","Allergy","Terminated"
5288600,"D0UN8H","Pancreatic cancer","Preclinical"
5419,"D05IHU","Ocular disease","Approved"
5429,"D09QNH; D0I0DS","Asthma","Approved"
8955,"D0B4RU","Schizophrenia","Phase 4"
4713,"D9ILC1","Cardiac arrest","Investigative"
5401,"D0P9RF","Benign prostatic hyperplasia","Approved"
5280343,"D0K8KX; D0Y3DN","Obesity","Approved"
31307,"D03BLF","Allergic rhinitis","Approved"
33624,"D05UVD","High blood pressure","Approved"
57242,"D0Z2WQ","Male sexual disorder","Discontinued in Phase 3"
5282443,"D0E8CI","Hay fever","Approved"
33572,"D00LFB","Premature labour","Approved"
5035,"D01XBA","Osteoporosis","Approved"
444795,"D02DGU","Acne vulgaris","Approved"
444795,"D02DGU","Acute promyelocytic leukaemia","Approved"
5282379,"D00DKK","Acne vulgaris","Approved"
5095,"D0R9EQ","Parkinson disease","Approved"
445154,"D0U3EP","Giant cell arteritis","Phase 3"
445154,"D0U3EP","Rheumatoid arthritis","Phase 3"
445154,"D0U3EP","Systemic sclerosis","Phase 3"
445154,"D0U3EP","Colorectal cancer","Discontinued in Phase 2"
36314,"D0C4RB; D00ZBZ; D0S1FM","Solid tumour/cancer","Approved"
36314,"D0C4RB; D00ZBZ; D0S1FM","Breast cancer","Approved"
36314,"D0C4RB; D00ZBZ; D0S1FM","Pancreatic cancer","Phase 3"
36314,"D0C4RB; D00ZBZ; D0S1FM","Gastric adenocarcinoma","Phase 2"
36314,"D0C4RB; D00ZBZ; D0S1FM","Ovarian cancer","Phase 2"
36314,"D0C4RB; D00ZBZ; D0S1FM","Lung cancer","Investigative"
36314,"D0C4RB; D00ZBZ; D0S1FM","Prostate cancer","Investigative"
36314,"D0C4RB; D00ZBZ; D0S1FM","Bladder cancer","Investigative"
36314,"D0C4RB; D00ZBZ; D0S1FM","Small-cell lung cancer","Investigative"
5411,"D08HQK","Spinal anesthesia","Approved"
5411,"D08HQK","Pain","Phase 2"
5578,"D0AO5H","Urinary tract infection","Approved"
5281847,"D0QR0U; D0R1JI","Parkinson disease","Preclinical"
56959,"D03HYQ","Chronic/stable angina","Approved"
56959,"D03HYQ","Paroxysmal atrial fibrillation","Phase 2"
6604887,"D0K0DB","Cancer related pain","Terminated"
6758,"D0F7CS","Piscicide","Approved"
5566,"D0R4OM","Schizophrenia","Approved"
37542,"D0H3WI","Hepatitis C virus infection","Approved"
2733526,"D07KSG","Breast cancer","Approved"
5593,"D09PNY","Mydriasis","Approved"
3448,"D00EEL","Insomnia","Approved"
5567,"D0I8FV","Gram-positive bacterial infection","Phase 2"
5073,"D01AZG","Schizophrenia","Approved"
68712,"D06OFS","Hypertension","Approved"
5311064,"D0Q9ON","Cardiac disease","Approved"
5387,"D0FX4J","Chronic obstructive pulmonary disease","Discontinued in Preregistration"
5426,"D0U7GK; D00DDR","Multiple myeloma","Approved"
443951,"D01ZOB","Pulmonary arterial hypertension","Phase 2"
5253,"D04VMT","Sinus rhythm disorder","Approved"
11953895,"D07XVR","Hypertension","Approved"
5335,"D0A4YE","Bacterial infection","Approved"
5311430,"D09JXL","Pain","Discontinued in Phase 2"
5472495,"D0M9VE","Colorectal cancer","Phase 3"
107656,"D09BRE","Asthma","Terminated"
5639,"D0K0VO","Hypertension","Approved"
5639,"D0K0VO","Inflammation","Phase 1/2"
3000322,"D0B7YT","Addictive disorder","Approved"
3000322,"D0B7YT","Nausea","Approved"
2435,"D0AE3X","Ocular hypertension","Approved"
2435,"D0AE3X","Glaucoma/ocular hypertension","Phase 3"
119195,"D0T3JW","Schizophrenia","Preclinical"
13342,"D0W9MM","Solid tumour/cancer","Approved"
2520,"D0R0FE","Hypertension","Approved"
443955,"D06BCB","Ischemic stroke","Approved"
6420023,"D0B5GS","Staphylococcus infection","Phase 3"
5665,"D0R3QY","Complex partial seizure","Approved"
5665,"D0R3QY","Infantile spasm","Approved"
5665,"D0R3QY","Epilepsy","Approved"
5833,"D0EP0C","Congestive heart failure","Approved"
2083,"D0K5CB","Acute asthma","Approved"
5154,"D0T3NB","Dental plaque","Approved"
5978,"D09QVV","Acute lymphoblastic leukaemia","Approved"
6604889,"D0YP7L","Sleep-wake disorder","Terminated"
128355,"D00MHP","Asthma","Phase 2"
5355,"D03QGM","Schizophrenia","Approved"
5684,"D07BCO","Eating disorder","Terminated"
5709,"D0Y4DY","Allergic rhinitis","Phase 4"
1548887,"D0Z5IU","Rheumatoid arthritis","Approved"
5314,"D0Q7ZQ","Spasm","Approved"
5329098,"D01PZD","Thrombocytopenia","Approved"
5329098,"D01PZD","Multiple myeloma","Phase 2"
5329098,"D01PZD","Myelodysplastic syndrome","Phase 2"
5459110,"D04LHJ","Nausea and vomiting","Approved"
8969,"D0H4JM","Erectile dysfunction","Approved"
5734,"D09ZIS","Epilepsy","Approved"
5723,"D0F0CS","Chronic obstructive pulmonary disease","Terminated"
4593,"D03ZBN","Heart failure","Approved"
5487,"D01MDT","Spasm","Approved"
121877,"D05EPU","Diabetic complication","Phase 1"
4883,"D0KD1U","Cardiac arrhythmias","Approved"
2783,"D0X5NX","Chronic breathing disorder","Approved"
4916,"D0Z1WA","Asthma","Approved"
34040,"D0V2GH","Brain ischaemia","Approved"
34040,"D0V2GH","Senile dementia","Approved"
54477,"D01PIL","Schizophrenia","Withdrawn from market"
443884,"D0C1IW","Postpartum haemorrhage","Approved"
28864,"D0X7KB","Parkinson disease","Approved"
28864,"D0X7KB","Fibrosis","Phase 3"
5284596,"D0X3FX","Narcotic depression","Approved"
5284596,"D0X3FX","Respiratory depression","Phase 3"
5284596,"D0X3FX","Pruritus","Phase 3"
5284596,"D0X3FX","Opioid dependence","Phase 1"
122015,"D0B7HJ","Epilepsy","Terminated"
16131448,"D0W4YO","Headache","Phase 1"
443363,"D0V5WL","Pain","Phase 2"
4456,"D08USJ","Myasthenia gravis","Approved"
6000,"D05HSC","Anaesthesia","Approved"
6000,"D05HSC","Smoking dependence","Approved"
107867,"D0A2OW","Heart failure","Discontinued in Phase 2"
192706,"D07CIN","Alzheimer disease","Phase 3"
160883,"D05EMG","Dysmenorrhea","Approved"
1979,"D0R7WU","Glaucoma/ocular hypertension","Approved"
2131,"D06IAQ","Myasthenia gravis","Approved"
657309,"D0S0AS","Obstructive lung disease","Approved"
9651,"D0R9VR","Alzheimer disease","Approved"
441289,"D0AA0L","Anaesthesia","Approved"
108092,"D0X9PW","Breast cancer","Discontinued in Phase 2"
122162,"D01ESJ","Sleep-wake disorder","Terminated"
2247,"D0Y2HR","Allergic rhinitis","Withdrawn from market"
5311261,"D04JQR","Neurological disorder","Terminated"
68736,"D0H1FV","Cerebrovascular ischaemia","Discontinued in Phase 3"
131938,"D0X6PG","Dementia","Terminated"
1102,"D08BXT","Plaque psoriasis","Phase 3"
1102,"D08BXT","Rheumatoid arthritis","Phase 3"
3688,"D0S0VZ","Alzheimer disease","Terminated"
5361,"D0H2UB","African trypanosomiasis","Phase 1"
5957,"D01BYB","Malnutrition","Approved"
5957,"D01BYB","Heart disease","Phase 2"
5957,"D01BYB","Bradycardia","Discontinued in Phase 2"
6133,"D0Z7FU","Lung cancer","Discontinued in Phase 3"
5472,"D05LBU","Stroke","Approved"
132059,"D0G1RT","Migraine","Terminated"
4595,"D0K7WK","Chemotherapy-induced nausea","Approved"
4595,"D0K7WK","Alcohol dependence","Phase 2"
5959,"D0X6IU","Bacterial infection","Approved"
4173,"D0A2ZX","Amoebiasis","Approved"
4173,"D0A2ZX","Crohn disease","Phase 3"
4173,"D0A2ZX","Perianal crohn disease","Phase 3"
3828,"D0G4KG","Asthma","Approved"
12560,"D02YIZ","Bacterial infection","Approved"
204,"D01HNL","Vulnerary","Approved"
7699,"D0Q2ES","Cough","Approved"
131204,"D0H9ZQ","Wound healing","Approved"
3647,"D00WAM","Congestive heart failure","Approved"
5215,"D05LKP","Rheumatic fever","Approved"
3182,"D02PWM; D0C7ON","Acute bronchial asthma","Approved"
7741,"D01OUE","Gastric secretory disorder","Approved"
2764,"D0O1WX","Bacterial infection","Approved"
2764,"D0O1WX","Gram-positive bacterial infection","Approved"
2764,"D0O1WX","Cystic fibrosis","Phase 2"
2764,"D0O1WX","Biliary cancer","Phase 1"
6674,"D02ARR","Constipation","Approved"
3658,"D0O6SX","Anxiety disorder","Approved"
9552079,"D0V4GY","Bacterial infection","Approved"
5282169,"D0J7OG","Bacterial infection","Approved"
4091,"D0D7LA","Type-2 diabetes","Approved"
54677972,"D03JPH","Osteoarthritis","Withdrawn from market"
4044,"D05FTJ","Dysmenorrhea","Approved"
6249,"D0YA9Z","Bacterial infection","Approved"
72281,"D07MGA","High blood cholesterol level","Approved"
5282165,"D0X1WJ","Bacterial infection","Approved"
27200,"D03YLZ","Bacterial infection","Approved"
2955,"D0MA9N","Pneumocystis pneumonia","Approved"
54675777,"D0R6RC","Pseudomonas infection","Approved"
202225,"D06IGU","Bacterial infection","Approved"
4199,"D0W8SJ","Depression","Approved"
3025,"D0P5GE","Anaesthesia","Approved"
4046,"D0GQ7K","Malaria","Approved"
4993,"D0C0SK","Malaria","Approved"
4633,"D0H2SY","Anaesthesia","Approved"
4189,"D00AXJ","Fungal infection","Approved"
5865,"D0IL7L; D0R4NR","Inflammation","Approved"
5865,"D0IL7L; D0R4NR","Atopic dermatitis","Phase 1"
5865,"D0IL7L; D0R4NR","Eczema","Phase 1"
5865,"D0IL7L; D0R4NR","Rheumatoid arthritis","Phase 2"
446598,"D0R0ZL","Acne vulgaris","Approved"
5905,"D09PZO","Herpes simplex virus infection","Approved"
14052,"D08QME","Pulmonary tuberculosis","Approved"
3783,"D0O8OB","Cerebrovascular disease","Withdrawn from market"
3059,"D08LFZ","Pain","Approved"
1978,"D0HD9K","Hypertension","Approved"
64945,"D07LUJ","Metabolic syndrome x","Phase 2"
180081,"D02KLW","Cerebrovascular ischaemia","Terminated"
5504,"D03RZV","Pulmonary hypertension","Approved"
5510,"D02NTO","Dermatophytosis","Approved"
5510,"D02NTO","Jock itch","Approved"
5577,"D0A8FB","Nausea and vomiting","Approved"
54676537,"D05HFY","Thrombosis","Approved"
54675776,"D08NQZ","Bacterial infection","Approved"
10531,"D0V3ZA","Migraine","Approved"
3467,"D0L9UU","Bacterial infection","Approved"
135409468,"D0K4HW","Schizoaffective disorder","Phase 2"
135409468,"D0K4HW","Schizophrenia","Phase 2"
131747,"D0ZX7I","Major depressive disorder","Discontinued in Phase 2"
3767,"D09XQF","Tuberculosis","Approved"
5526,"D05HXX","Excessive bleeding","Approved"
4195,"D02XJY","Orthostatic hypotension","Approved"
4539,"D0Q2PE","Bacterial infection","Approved"
4178,"D0X0RI","Ventricular tachycardia","Approved"
15376,"D08UGJ","Cerebrovascular disease","Approved"
5362119,"D07HGR","Hypertension","Approved"
26879,"D0CF2Q","Parasitic infection","Approved"
26879,"D0CF2Q","Colon cancer","Withdrawn from market"
5803,"D0J6XC","Wound healing","Clinical trial"
708857,"D03PTH","Worm infection","Approved"
3055,"D0W9VB","Nausea","Approved"
3000540,"D0Q0EX","Gram-positive bacterial infection","Approved"
2466,"D02HXS","Dermatitis","Approved"
6230,"D0GL7U","Solid tumour/cancer","Approved"
28061,"D0D0BE","Amoebiasis","Approved"
4107,"D0FN7J","Musculoskeletal disorder","Approved"
5755,"D0D1SG","Solid tumour/cancer","Approved"
5755,"D0D1SG","Multiple sclerosis","Phase 3"
3052,"D06RCB","Lymphatic filariasis","Approved"
68589,"D0J1CL","Fungal infection","Phase 2"
5388962,"D00SEB","Hypertension","Approved"
71771,"D0T8VY","Inflammation","Approved"
5742832,"D0F2XV","Bacterial infection","Approved"
10660,"D0U8UV","Nausea","Approved"
10133,"D03ZTE","Cholelithiasis","Approved"
2474,"D0A0FL","Anaesthesia","Approved"
2474,"D0A0FL","Pain","Phase 2"
3998,"D0K1QD","Bacterial infection","Approved"
6098,"D04KTZ","Bacterial infection","Approved"
441140,"D0C1SF","Ringworm infection","Approved"
4746,"D00SBN","Angina pectoris","Approved"
5329,"D0R9OH","Bacterial infection","Approved"
5329,"D0R9OH","Infection of P. falciparum","Investigative"
5906,"D04EYC","Hypotension","Approved"
5281565,"D0L1WV","Cardiovascular disease","Approved"
4030,"D0J1MI","Worm infection","Approved"
2082,"D00KVO","Worm infection","Approved"
12555,"D06FJO","Chemotherapy or radiotherapy-induced mucositis","Discontinued in Phase 2"
54675779,"D0J2NK","Bacterial infection","Approved"
3518,"D0N3PE","Moderate and severe hypertension","Approved"
6604200,"D0R0BX","Urinary tract infection","Approved"
3335,"D06LHG","Arthritis","Approved"
2200,"D06FZX","Nasal congestion","Approved"
8249,"D07XPE","Diabetic complication","Withdrawn from market"
4450,"D05AFX","Pain","Approved"
3278,"D06TNL","High blood pressure","Approved"
6741,"D08PIQ","Solid tumour/cancer","Approved"
6741,"D08PIQ","Spinal cord injury","Investigative"
2165,"D04NQI","Malaria","Approved"
3702,"D0H8FH","Hypertension","Approved"
3336,"D02FEA","Coronary artery disease","Withdrawn from market"
5342,"D03DEI","Gout","Approved"
4031,"D0VU8Q","Irritable bowel syndrome","Approved"
656665,"D0K0KH","Fibromyalgia","Approved"
19649,"D0N0EQ","Bacterial infection","Approved"
2732,"D09NIA","Edema","Approved"
2732,"D09NIA","Hypertension","Approved"
54766,"D07XYV","Asthma","Approved"
3926,"D0L7VL","Angina pectoris","Approved"
5995,"D0SP7S","Prostate cancer","Investigative"
2092,"D09MWJ","Benign prostatic hyperplasia","Approved"
5362065,"D06OVY","Bacterial infection","Approved"
6613,"D07SJT","Vitamin deficiency","Approved"
3229,"D0R8ER","Urinary tract infection","Approved"
5819,"D06RGG","Hypothyroidism","Approved"
5311498,"D0FR6I","Anemia","Approved"
443944,"D02VCJ","Central nervous system disease","Approved"
53025,"D0AP9T","Bacterial infection","Approved"
26934,"D09JXM","Obesity","Withdrawn from market"
5344,"D09TBD","Urinary tract infection","Approved"
12492,"D0S2JI","Edema","Approved"
4912,"D0H2DQ","Coronary artery disease","Approved"
6032,"D0YV1Q","Bacterial infection","Approved"
14985,"D02TQO","Cardiovascular disease","Approved"
47965,"D0X9ZC","Bacterial infection","Approved"
638024,"D0H7PW","Vitiligo","Phase 1/2"
54670067,"D07AHW","Vitamin C deficiency","Approved"
54670067,"D07AHW","Urinary tract infection","Phase 2"
68844,"D01MUR","Open-angle glaucoma","Approved"
37768,"D0Y3MO","Bacterial infection","Approved"
37768,"D0Y3MO","Tuberculosis","Investigative"
5478883,"D04ZIJ; D0F3PU","Malaria","Terminated"
5478883,"D04ZIJ; D0F3PU","Ovarian cancer","Phase 1"
6083,"D06ACW","Malnutrition","Approved"
2132,"D03DSR","Bronchitis","Approved"
2794,"D0S5UH","Crohn disease","Approved"
2794,"D0S5UH","Mycobacterium infection","Investigative"
441397,"D04CFW","Bacterial infection","Approved"
2467,"D0Z6ST","Peripheral vascular disease","Approved"
2583,"D03GCJ","Glaucoma/ocular hypertension","Approved"
44187,"D0C2YB","Bacterial infection","Approved"
33613,"D0F6EO","Bacterial infection","Approved"
2318,"D07XCF","Hyperlipidaemia","Withdrawn from market"
4417,"D07YWY","Cerebrovascular ischaemia","Approved"
64971,"D0R9YR","Melanoma","Phase 1"
2724385,"D02OZE","Heart failure","Approved"
2724385,"D02OZE","Arrhythmia","Approved"
2724385,"D02OZE","Congestive cardiac insufficiency","Approved"
4034,"D0T1XW","Dizziness","Approved"
6103,"D0N0LB","Multiple myeloma","Terminated"
39042,"D00WCX","Hyperlipidaemia","Approved"
5281086,"D08PCE","Trichuris trichiura infection","Approved"
31703,"D07VLY; D0F3PU","Solid tumour/cancer","Approved"
31703,"D07VLY; D0F3PU","Hepatocellular carcinoma","Phase 3"
31703,"D07VLY; D0F3PU","Breast cancer","Phase 2"
31703,"D07VLY; D0F3PU","Tumour","Investigative"
31703,"D07VLY; D0F3PU","Ovarian cancer","Phase 1"
2391,"D07IEF","Constipation","Approved"
5280795,"D0K5WS","Vitamin D deficiency","Approved"
31072,"D02CKX","Hyperthyroidism","Approved"
4055,"D03GET","Vitamin K deficiency","Approved"
4055,"D03GET","Prostate cancer","Phase 2"
4114,"D08SKH","Cutaneous T-cell lymphoma","Approved"
4114,"D08SKH","Psoriasis vulgaris","Approved"
2333,"D07FCV; D0Z3DY","Gout","Approved"
10621,"D0I9HF","Vascular purpura","Approved"
5280965,"D02DWM","Fungal infection","Approved"
5280965,"D02DWM","Mycoses","Investigative"
5280793,"D06JPB","Hypoparathyroidism","Approved"
6917698,"D0BD8D","Gastroesophageal reflux disease","Approved"
6917698,"D0BD8D","Gastrointestinal disease","Investigative"
18381,"D0R2KJ","Bacterial infection","Approved"
5282415,"D04RGA","Abortion","Approved"
43507,"D06OUL","Bacterial infection","Approved"
107699,"D04KMO","Epilepsy","Terminated"
4167,"D0NF0W","Parkinson disease","Approved"
43708,"D0K3DQ","Respiratory tract infection","Approved"
5447130,"D0IE1E","Skin burns","Approved"
5447130,"D0IE1E","Bacterial infection","Discontinued in Phase 3"
2381,"D0B4TN","Parkinson disease","Approved"
4911,"D0L7FM","Hyperuricaemia","Approved"
4911,"D0L7FM","Gout","Approved"
26757,"D0S2UG","Major depressive disorder","Approved"
26757,"D0S2UG","Skin imperfections","Patented"
26757,"D0S2UG","Chemotherapy-induced nausea","Discontinued in Phase 3"
441336,"D0XW2H","Asthma","Approved"
441975,"D01JGV","Circulatory disorder","Approved"
6100671,"D02GUG","Atrial fibrillation","Approved"
3105,"D01JFT","Chronic open-angle glaucoma","Approved"
2678,"D0DK8V","Allergic rhinitis","Approved"
4754,"D0O2IE","Analgesia","Withdrawn from market"
9415,"D0G6AB","Solid tumour/cancer","Approved"
1054,"D07MUN","Vitamin B6 deficiency","Approved"
16363,"D0X7QQ","Schizophrenia","Approved"
657298,"D00MIN","Hyperthyroidism","Approved"
5430,"D08QCJ","Helminth infection","Approved"
5430,"D08QCJ","Dutch elm disease","Approved"
74989,"D06ZEE","Fungal infection","Approved"
36294,"D07BCT","Bacterial infection","Approved"
135398738,"D0Y7ZU","Melanoma","Approved"
637858,"D5R7AE","Solid tumour/cancer","Preclinical"
10235,"D08XPW","Tobacco dependence","Phase 3"
493570,"D04QST","Acne vulgaris","Approved"
441383,"D01AQT","Candidiasis","Approved"
441333,"D02UFG","Asthma","Approved"
5576,"D0U4VT","Pancreatic cancer","Approved"
5576,"D0U4VT","Epilepsy","Approved"
135398735,"D0G3DL","Tuberculosis","Approved"
5311054,"D0K7NQ","Pseudomonas infection","Approved"
5468,"D0S7VO","Pain","Approved"
53232,"D06WTZ","Hypercholesterolaemia","Approved"
53232,"D06WTZ","Cardiovascular disease","Phase 3"
2761171,"D0O5ZK; D0P0HB","Tuberculosis","Approved"
5965,"D06IDT","Open-angle glaucoma","Approved"
107751,"D0JY3V","Diarrhea","Approved"
30323,"D01XWG","Acute myeloid leukaemia","Approved"
30323,"D01XWG","Kaposi sarcoma","Approved"
30323,"D01XWG","Solid tumour/cancer","Phase 2"
14969,"D0B1IV","Methicillin-resistant staphylococci infection","Approved"
14969,"D0B1IV","MRSA infection","Investigative"
54677971,"D0I6IB","Rheumatoid arthritis","Approved"
6473883,"D06ZUP","Bacterial infection","Approved"
135398658,"D0Z0DW","Vitamin deficiency","Approved"
135398658,"D0Z0DW","Folate-deficiency anemia","Approved"
68827,"D0S3WH","Malaria","Approved"
4760,"D08FTG","Coagulation defect","Approved"
4760,"D08FTG","Pulmonary embolism","Approved"
3475,"D0M2MR","Diabetic complication","Approved"
5280954,"D0G8NJ","Hypertension","Approved"
5481173,"D0PH5Z","Bacterial infection","Approved"
2448,"D00SHQ","Schizophrenia","Approved"
104838,"D0H3TD","Bacterial infection","Approved"
9915886,"D0IG4I","Muscle spasm","Approved"
21109,"D0Q4YI","Angina pectoris","Approved"
6420006,"D0SP3D","Alzheimer disease","Approved"
6726,"D08HRJ","Nausea","Approved"
5339,"D02ZTJ","Rheumatoid arthritis","Approved"
5339,"D02ZTJ","Irritable bowel syndrome","Approved"
5311429,"D0K9OL","Absence seizure","Terminated"
3476,"D0B2GI","Diabetic complication","Approved"
9051,"D0F1UL","Menstrual disorder","Approved"
32798,"D0H0YD","Plaque psoriasis","Phase 2"
9919023,"D0SL8J","Psoriasis vulgaris","Phase 2"
72276,"D05TPI","Duchenne dystrophy","Phase 1/2"
72276,"D05TPI","Friedreich's ataxia","Phase 1/2"
2337,"D0Q8ZX","Anaesthesia","Approved"
29327,"D0I8RR","Pancreatic cancer","Approved"
5328,"D07JJS","Urinary tract infection","Approved"
4756,"D00VUL","Pain","Approved"
5336,"D0D4CY","Dermatitis herpetiformis","Approved"
82153,"D0FM2P","Allergic rhinitis","Approved"
247839,"D04SFH","Eye inflammation","Approved"
13109,"D0BA9U","Contraception","Approved"
2797,"D06RRD","Dyslipidemia","Investigative"
2805,"D0O8IS","Cough","Approved"
5325,"D0H1GJ","Bacterial infection","Approved"
2446,"D09WEJ","Dyspepsia","Approved"
6883,"D0I1SK; D05JFY","Anal fissure","Approved"
6883,"D0I1SK; D05JFY","Angina pectoris","Approved"
6883,"D0I1SK; D05JFY","Heart failure","Approved"
3342,"D03XYW","Rheumatoid arthritis","Approved"
9642,"D03ZZK","Inflammation","Approved"
2315,"D02PAH","High blood pressure","Approved"
15209,"D0Y2YP","Inflammation","Approved"
443943,"D06IIB","Skin disease","Approved"
62881,"D0FJ8A","Acute iron or aluminum toxicity","Approved"
6419898,"D0F5OR","Bacterial infection","Approved"
43672,"D04ZAH","Bacterial infection","Approved"
5327,"D0V9YR","Bacterial infection","Approved"
54676038,"D02TJS","Thrombosis","Approved"
54676038,"D02TJS","Bleeding disorder","Approved"
3759,"D0I2VK","Depression","Approved"
656630,"D0SL2V","Cardiovascular disease","Approved"
3292,"D05EPM","Complex partial seizure","Approved"
4886,"D0V4UF","Anal fistula","Approved"
3677,"D0G1OZ","High blood pressure","Approved"
11693,"D0M0AM","Anaesthesia","Approved"
11693,"D0M0AM","Chronic obstructive pulmonary disease","Approved"
448537,"D0Y2NE","Gonorrheal vaginitis","Approved"
5479,"D0O4SE","Bacterial infection","Approved"
1349907,"D0S4BR","Hyperthyroidism","Approved"
9903,"D04SLF","Breast cancer","Phase 3"
3503,"D0Z0HH","Prostate cancer","Phase 2"
3103,"D0W6DY","Allergic rhinitis","Approved"
456255,"D06YHL","Microorganisms infection","Approved"
11289,"D0X0KJ","Menopause symptom","Withdrawn from market"
72287,"D09LZT","Psychotic disorder","Approved"
72287,"D09LZT","Bipolar disorder","Approved"
5284555,"D03IUY","Hypogonadism","Approved"
9878,"D0P0HT","Chronic obstructive pulmonary disease","Approved"
21704,"D0NI0C","Herpes simplex virus infection","Approved"
10770,"D08MRN","Anaesthesia","Approved"
667476,"D09ZQN","Atrophic vaginitis","Approved"
3276,"D0LJ6P","Solid tumour/cancer","Approved"
3830,"D03OIW","Skin photodamage","Approved"
5585,"D0FA2O","Vitiligo","Approved"
5333,"D0L4JT","Bacterial infection","Approved"
3762,"D08HUC","Asthma","Approved"
5326,"D07SYJ","Bacterial infection","Approved"
5733,"D0SU1G","Pain","Withdrawn from market"
73078,"D0G4ES","Sarcoma","Phase 1"
73078,"D0G4ES","Colorectal cancer","Discontinued in Phase 3"
5479529,"D0Y2IE","Acute bronchitis","Approved"
10783,"D0G3LM","Stroke","Phase 3"
2564,"D00FGV","Vasomotor/allergic rhinitis","Approved"
6479523,"D0PA2N","Pseudomonas infection","Approved"
2480,"D06ORU","Pain","Approved"
65492,"D0O2HQ","Cardiovascular disease","Approved"
938,"D0N0ES; D00QNW","Lipid metabolism disorder","Approved"
938,"D0N0ES; D00QNW","Hyperlipidaemia","Phase 3"
3033637,"D0Q9DK","Acid-reflux disorder","Approved"
688020,"D0T3NY","Pruritus","Approved"
4100,"D0C2II","Glaucoma/ocular hypertension","Approved"
2882,"D06NSS","Asthma","Approved"
2882,"D06NSS","Allergic rhinitis","Terminated"
441199,"D02VFC","Bacterial infection","Approved"
3736,"D07GNP","X-rays imaging","Approved"
7638,"D0H6TP","Vitiligo","Approved"
11973707,"D0XD5A","Infectious disease","Phase 3"
3690,"D02TLO","Solid tumour/cancer","Approved"
8982,"D0A0JH","Arthritis","Approved"
5920,"D0S6JG","Hypothyroidism","Approved"
5920,"D0S6JG","Congestive heart failure","Phase 3"
3305,"D00NNC","Paget's disease","Approved"
3332,"D0Y7EM","Arthritis","Approved"
15541,"D02PCR","Bacterial infection","Approved"
2343,"D0L2MX","High blood pressure","Approved"
54675769,"D0Q0PR","Bacterial infection","Approved"
4919,"D0R1WR","Parkinson disease","Approved"
6915744,"D0Y4FL","Bacterial infection","Withdrawn from market"
4174,"D0Q9JT","Cushing disease","Approved"
71388,"D00ARN","Cystic fibrosis","Terminated"
3418,"D0N3UL","Pain","Approved"
5560,"D0Y2IZ; D0C0MN","Hypertension","Approved"
54454,"D0H0ND; D00QNW; D01PKG","Hypercholesterolaemia","Approved"
54454,"D0H0ND; D00QNW; D01PKG","Hyperlipidaemia","Phase 3"
5152,"D0L5YV","Chronic obstructive pulmonary disease","Approved"
5359,"D07BPS","Miosis","Approved"
3718,"D0Q5PL","Gout","Withdrawn from market"
5509,"D09BHB","Rheumatoid arthritis","Approved"
