"cid","tid","TARGETID","UNIPROID","TARGNAME","GENENAME","TARGTYPE","BIOCLASS"
4342,"D04BQR","T67952",NA,"Potassium channel unspecific (KC)",NA,NA,NA
23666345,"D03BZN","T86273","GPBAR_HUMAN","G-protein coupled bile acid receptor 1 (GPBAR1)","GPBAR1","Clinical trial target","GPCR rhodopsin"
2141,"D06CIE","T89086",NA,"Toxic reactive metabolite (TRM)",NA,"Successful target",NA
1986,"D0E1SW","T13201","CAH1_HUMAN","Carbonic anhydrase I (CA-I)","CA1","Successful target","Alpha-carbonic anhydrase"
2230,"D07EFM","T28893","ACM1_HUMAN","Muscarinic acetylcholine receptor M1 (CHRM1)","CHRM1","Successful target","GPCR rhodopsin"
6603710,"D0A0JU","T92609","ADA1A_HUMAN","Adrenergic receptor alpha-1A (ADRA1A)","ADRA1A","Successful target","GPCR rhodopsin"
1564,"D0T8SD","T42446","GABR1_HUMAN; GABR2_HUMAN","Gamma-aminobutyric acid B receptor (GABBR)","GABBR1; GABBR2","Successful target","GPCR glutamate"
104895,"D0D6OH","T37693","CNR2_HUMAN","Cannabinoid receptor 2 (CB2)","CNR2","Successful target","GPCR rhodopsin"
104895,"D0D6OH","T76685","CNR1_HUMAN","Cannabinoid receptor 1 (CB1)","CNR1","Successful target","GPCR rhodopsin"
104895,"D0D6OH","T87670","GPR55_HUMAN","G-protein coupled receptor 55 (GPR55)","GPR55","Successful target","GPCR rhodopsin"
6234,"D02WFK","T12187","DDL_MYCTU","Mycobacterium D-alanine-D-alanine ligase A (MycB ddl)","MycB ddl","Successful target","Carbon-nitrogen ligase"
6234,"D02WFK","T62276","NMDZ1_HUMAN","Glutamate receptor ionotropic NMDA 1 (NMDAR1)","GRIN1","Successful target","Glutamate-gated ion channel"
6234,"D02WFK","T14582","ALR_MYCSM","Mycobacterium Biosynthetic alanine racemase (MycB alr)","MycB alr","Successful target","Racemases and epimerases"
6234,"D02WFK","T69494",NA,"N-methyl-D-aspartate receptor (NMDAR)",NA,NA,NA
9064,"D0V7AA","T13201","CAH1_HUMAN","Carbonic anhydrase I (CA-I)","CA1","Successful target","Alpha-carbonic anhydrase"
9064,"D0V7AA","T20401","CAH2_HUMAN","Carbonic anhydrase II (CA-II)","CA2","Successful target","Alpha-carbonic anhydrase"
9064,"D0V7AA","T53378","CAH4_HUMAN","Carbonic anhydrase IV (CA-IV)","CA4","Successful target","Alpha-carbonic anhydrase"
9064,"D0V7AA","T16987","CAH12_HUMAN","Carbonic anhydrase XII (CA-XII)","CA12","Successful target","Alpha-carbonic anhydrase"
9064,"D0V7AA","T60529","PGH1_HUMAN","Prostaglandin G/H synthase 1 (COX-1)","PTGS1","Successful target","Paired donor oxygen oxidoreductase"
9064,"D0V7AA","T06569","CAH6_HUMAN","Carbonic anhydrase VI (CA-VI)","CA6","Successful target","Alpha-carbonic anhydrase"
9064,"D0V7AA","T31992","CAH14_HUMAN","Carbonic anhydrase XIV (CA-XIV)","CA14","Successful target","Alpha-carbonic anhydrase"
9064,"D0V7AA","T64567","CAH9_HUMAN","Carbonic anhydrase IX (CA-IX)","CA9","Clinical trial target","Alpha-carbonic anhydrase"
9064,"D0V7AA","T43920",NA,"Carbonic anhydrase (CA)",NA,NA,NA
2727,"D00BCP","T09423","KCJ10_HUMAN","Inward rectifier potassium channel Kir1.2 (KCNJ10)","KCNJ10","Successful target","Inward rectifier potassium channel"
443600,"D0T2IQ","T58093","DEF_STAAU","Staphylococcus Peptide deformylase (Stap-coc def)","Stap-coc def","Clinical trial target","Carbon-nitrogen hydrolase"
126941,"D0SV8E","T35465","S19A1_HUMAN","Solute carrier family 19 member 1 (SLC19A1)","SLC19A1","Successful target",NA
126941,"D0SV8E","T19229","PCFT_HUMAN","Proton-coupled folate transporter (SLC46A1)","SLC46A1","Successful target",NA
73333,"D0V4JO","T32060","5HT2A_HUMAN","5-HT 2A receptor (HTR2A)","HTR2A","Successful target","GPCR rhodopsin"
2146,"D0V0NL","T02703","NOS2_HUMAN","Nitric-oxide synthase inducible (NOS2)","NOS2","Clinical trial target","Paired donor oxygen oxidoreductase"
2146,"D0V0NL","T89988","CCR2_HUMAN","C-C chemokine receptor type 2 (CCR2)","CCR2","Clinical trial target","GPCR rhodopsin"
97587,"D04LZJ","T42446","GABR1_HUMAN; GABR2_HUMAN","Gamma-aminobutyric acid B receptor (GABBR)","GABBR1; GABBR2","Successful target","GPCR glutamate"
667467,"D0B0CP","T67162","DRD2_HUMAN","Dopamine D2 receptor (D2R)","DRD2","Successful target","GPCR rhodopsin"
89105,"D07ZHV","T75498","NQO2_HUMAN","Quinone reductase 2 (NQO2)","NQO2","Successful target","Diphenol donor oxidoreductase"
2574,"D06ZBV","T64765","HRH3_HUMAN","Histamine H3 receptor (H3R)","HRH3",NA,"GPCR rhodopsin"
5753,"D03TNT","T72168","MCR_HUMAN","Mineralocorticoid receptor  (MR)","NR3C2","Successful target","Nuclear hormone receptor"
5753,"D03TNT","T65200","DHI1_HUMAN","Corticosteroid 11-beta-dehydrogenase 1 (HSD11B1)","HSD11B1","Clinical trial target","Short-chain dehydrogenases reductase"
5753,"D03TNT","T30687","GCR_HUMAN","Glucocorticoid receptor messenger RNA (GCR mRNA)","NR3C1","Clinical trial target","mRNA target"
426756,"D0X7HM","T86836",NA,"Human Deoxyribonucleic acid (hDNA)",NA,"Successful target",NA
2249,"D01UXC","T44068","ADRB1_HUMAN","Adrenergic receptor beta-1 (ADRB1)","ADRB1","Successful target","GPCR rhodopsin"
3544,"D0C8BV","T04820","P90584_PLAFA","Plasmodium CDK Pfmrk (Malaria Pfmrk)","Malaria Pfmrk","Patented-recorded target","Kinase"
2703,"D0T9ZL","T63414","P2RX7_HUMAN","P2X purinoceptor 7 (P2RX7)","P2RX7","Clinical trial target","ATP-gated P2X receptor cation channel"
2703,"D0T9ZL","T93262","KPCE_HUMAN","PKC-epsilon messenger RNA (PRKCE mRNA)","PRKCE","Literature-reported target","mRNA target"
4211,"D0Z5OE","T89534","ESR1_HUMAN","Estrogen receptor (ESR)","ESR1","Successful target","Nuclear hormone receptor"
2725,"D0B7NG","T77913","HRH1_HUMAN","Histamine H1 receptor (H1R)","HRH1","Successful target","GPCR rhodopsin"
5745,"D0X4RS","T68066","ERR1_HUMAN; ERR2_HUMAN; ERR3_HUMAN","Steroid hormone receptor ERR (ESRR)","ESRRA; ESRRB; ESRRG","Successful target","Nuclear hormone receptor"
65536,"D0O4TL","T64410","VANY_ENTFA","Bacterial DD-carboxypeptidase (Bact vanYB)","Bact vanYB","Successful target","Peptidase"
65536,"D0O4TL","T33193","FTSI_ECOLI","Bacterial Penicillin binding protein 3 (Bact mrcA)","Bact mrcA","Successful target","Hexosyltransferase"
564,"D0FD0H","T89034","PLMN_HUMAN","Plasminogen (PLG)","PLG","Successful target","Peptidase"
564,"D0FD0H","T45299","TPA_HUMAN","Tissue-type plasminogen activator (PLAT)","PLAT","Successful target","Peptidase"
4615193,"D03VBJ","T33584","GRIA1_HUMAN","Glutamate receptor AMPA 1 (GRIA1)","GRIA1","Successful target","Glutamate-gated ion channel"
4615193,"D03VBJ","T42392","GRIA2_HUMAN","Glutamate receptor AMPA 2 (GRIA2)","GRIA2","Successful target","Glutamate-gated ion channel"
4615193,"D03VBJ","T62391","GRIA3_HUMAN","Glutamate receptor AMPA 3 (GRIA3)","GRIA3","Successful target","Glutamate-gated ion channel"
4615193,"D03VBJ","T96235","GRIA4_HUMAN","Glutamate receptor AMPA 4 (GRIA4)","GRIA4","Successful target","Glutamate-gated ion channel"
135401907,"D04KYY","T40954","XDH_HUMAN","Xanthine dehydrogenase/oxidase (XDH)","XDH","Successful target","CH/CH(2) oxidoreductase"
2119,"D01VAB","T44068","ADRB1_HUMAN","Adrenergic receptor beta-1 (ADRB1)","ADRB1","Successful target","GPCR rhodopsin"
2531,"DW56QV","T39610","CALM1_HUMAN; CALM2_HUMAN; CALM3_HUMAN","Calmodulin (CALM)","CALM","Successful target","Calmodulin-dependent secretion"
119376,"D08JLW","T59679","5HT4R_HUMAN","5-HT 4 receptor (HTR4)","HTR4","Successful target","GPCR rhodopsin"
44093,"D0I0EG","T82577","ACE_HUMAN","Angiotensin-converting enzyme (ACE)","SLC33A1","Successful target","Glycosylase"
60839,"D01HTH","T69494",NA,"N-methyl-D-aspartate receptor (NMDAR)",NA,NA,NA
2123,"D02LPF","T86836",NA,"Human Deoxyribonucleic acid (hDNA)",NA,"Successful target",NA
5960,"D0OT9B","T62276","NMDZ1_HUMAN","Glutamate receptor ionotropic NMDA 1 (NMDAR1)","GRIN1","Successful target","Glutamate-gated ion channel"
5960,"D0OT9B","T22285","NMDE1_HUMAN","Glutamate receptor ionotropic NMDA 2A (NMDAR2A)","GRIN2A","Successful target","Glutamate-gated ion channel"
5960,"D0OT9B","T76414","NMDE2_HUMAN","Glutamate receptor ionotropic NMDA 2B (NMDAR2B)","GRIN2B","Successful target","Glutamate-gated ion channel"
5960,"D0OT9B","T56588","NMDE4_HUMAN","Glutamate receptor ionotropic NMDA 2D (GluN2D)","GRIN2D","Literature-reported target",NA
5960,"D0OT9B","T72595","NMDE3_HUMAN","Glutamate receptor ionotropic NMDA 2C (GluN2C)","GRIN2C","Literature-reported target",NA
5831,"D0U7BW","T55815","ACHA2_HUMAN","Neuronal acetylcholine receptor alpha-2 (CHRNA2)","CHRNA2","Successful target","Neurotransmitter receptor"
2733,"D08ZEB","T39078",NA,"Calcium-activated potassium channel (KCN)",NA,NA,NA
1549098,"D0E8JM","T58093","DEF_STAAU","Staphylococcus Peptide deformylase (Stap-coc def)","Stap-coc def","Clinical trial target","Carbon-nitrogen hydrolase"
1549098,"D0E8JM","T30803","GSHR_HUMAN","Glutathione reductase (GR)","GSR","Patented-recorded target","Sulfur donor oxidoreductase"
1549098,"D0E8JM","T89082","HMCS2_HUMAN","Hydroxymethylglutaryl-CoA synthase 2 (HMGCS2)","HMGCS2","Literature-reported target","Acyltransferase"
12852,"D0B3UE","T92072","AA1R_HUMAN","Adenosine A1 receptor (ADORA1)","ADORA1","Successful target","GPCR rhodopsin"
12852,"D0B3UE","T77365","AA2AR_HUMAN","Adenosine A2a receptor (ADORA2A)","ADORA2A","Successful target","GPCR rhodopsin"
12852,"D0B3UE","T36059","AA3R_HUMAN","Adenosine A3 receptor (ADORA3)","ADORA3","Clinical trial target","GPCR rhodopsin"
6024,"D01PLN","T64410","VANY_ENTFA","Bacterial DD-carboxypeptidase (Bact vanYB)","Bact vanYB","Successful target","Peptidase"
2756,"D02DPA","T30985","HRH2_HUMAN","Histamine H2 receptor (H2R)","HRH2","Successful target","GPCR rhodopsin"
2895,"D01KHH","T75984",NA,"5-HT 2 receptor (5HT2R)",NA,NA,"GPCR rhodopsin"
1794,"D02YIW","T01777","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","ADRA2C","Successful target","GPCR rhodopsin"
1794,"D02YIW","T12475","GNRHR_HUMAN","Gonadotropin-releasing hormone receptor (GNRHR)","GNRHR","Successful target","GPCR rhodopsin"
6128,"D0M8RO","T13260","CP19A_HUMAN","Aromatase (CYP19A1)","CYP19A1","Successful target","Paired donor oxygen oxidoreductase"
6128,"D0M8RO","T60857","AK1C3_HUMAN","Dihydrodiol dehydrogenase type I (AKR1C3)","AKR1C3","Successful target","Short-chain dehydrogenases reductase"
6128,"D0M8RO","T44011","DHB1_HUMAN","Estradiol 17 beta-dehydrogenase 1 (17-beta-HSD1)","HSD17B1","Clinical trial target","CH-OH donor oxidoreductase"
2145,"D0M6DO","T13260","CP19A_HUMAN","Aromatase (CYP19A1)","CYP19A1","Successful target","Paired donor oxygen oxidoreductase"
2145,"D0M6DO","T23145","CP11A_HUMAN","Cholesterol desmolase (CYP11A1)","CYP11A1","Successful target","Paired donor oxygen oxidoreductase"
5879,"D0H5HO","T64382",NA,"Gamma-aminobutyric acid receptor (GAR)",NA,NA,NA
2179,"D0G9YH","T96144","TOP2A_HUMAN; TOP2B_HUMAN","DNA topoisomerase II (TOP2)","TOP2A; TOP2B","Successful target","ATP-hydrolyzing DNA topoisomerase"
27447,"D0Z5EM","T34743",NA,"Bacterial Penicillin binding protein (Bact PBP)",NA,NA,NA
2720,"D0M9WM","T20401","CAH2_HUMAN","Carbonic anhydrase II (CA-II)","CA2","Successful target","Alpha-carbonic anhydrase"
33255,"D09KDN","T34743",NA,"Bacterial Penicillin binding protein (Bact PBP)",NA,NA,NA
2782,"D06XDJ","T04911","POLG_HCV1","Hepatitis C virus Non-structural 4B (HCV NS4B)","HCV NS4B","Clinical trial target","Hepacivirus polyprotein"
8974,"D0C2UJ","T92072","AA1R_HUMAN","Adenosine A1 receptor (ADORA1)","ADORA1","Successful target","GPCR rhodopsin"
8974,"D0C2UJ","T86679","AA2BR_HUMAN","Adenosine A2b receptor (ADORA2B)","ADORA2B","Successful target","GPCR rhodopsin"
8974,"D0C2UJ","T36059","AA3R_HUMAN","Adenosine A3 receptor (ADORA3)","ADORA3","Clinical trial target","GPCR rhodopsin"
2370,"D07ZTO","T79961","ACM5_HUMAN","Muscarinic acetylcholine receptor M5 (CHRM5)","CHRM5","Successful target","GPCR rhodopsin"
1547484,"D0Q3YO","T77913","HRH1_HUMAN","Histamine H1 receptor (H1R)","HRH1","Successful target","GPCR rhodopsin"
2196,"D02DPU","T67162","DRD2_HUMAN","Dopamine D2 receptor (D2R)","DRD2","Successful target","GPCR rhodopsin"
2196,"D02DPU","T32060","5HT2A_HUMAN","5-HT 2A receptor (HTR2A)","HTR2A","Successful target","GPCR rhodopsin"
1328,"D07HKU","T92072","AA1R_HUMAN","Adenosine A1 receptor (ADORA1)","ADORA1","Successful target","GPCR rhodopsin"
1328,"D07HKU","T86679","AA2BR_HUMAN","Adenosine A2b receptor (ADORA2B)","ADORA2B","Successful target","GPCR rhodopsin"
1908,"D09QLB","T25663",NA,"Adenosine receptor (ADOR)",NA,NA,"GPCR rhodopsin"
1355,"D0J6JT","T32060","5HT2A_HUMAN","5-HT 2A receptor (HTR2A)","HTR2A","Successful target","GPCR rhodopsin"
1355,"D0J6JT","T83813","5HT2C_HUMAN","5-HT 2C receptor (HTR2C)","HTR2C","Successful target","GPCR rhodopsin"
1355,"D0J6JT","T31204","5HT2B_HUMAN","5-HT 2B receptor (HTR2B)","HTR2B","Successful target","GPCR rhodopsin"
1355,"D0J6JT","T11072","5HT1D_HUMAN","5-HT 1D receptor (HTR1D)","HTR1D","Successful target","GPCR rhodopsin"
1355,"D0J6JT","T84117","5HT1E_HUMAN","5-HT 1E receptor (HTR1E)","HTR1E","Successful target","GPCR rhodopsin"
1355,"D0J6JT","T16691","5HT6R_HUMAN","5-HT 6 receptor (HTR6)","HTR6","Clinical trial target","GPCR rhodopsin"
1355,"D0J6JT","T79062","5HT7R_HUMAN","5-HT 7 receptor (HTR7)","HTR7","Clinical trial target","GPCR rhodopsin"
3277600,"D04AZE","T83813","5HT2C_HUMAN","5-HT 2C receptor (HTR2C)","HTR2C","Successful target","GPCR rhodopsin"
3277600,"D04AZE","T31204","5HT2B_HUMAN","5-HT 2B receptor (HTR2B)","HTR2B","Successful target","GPCR rhodopsin"
5479530,"D07ACT","T34743",NA,"Bacterial Penicillin binding protein (Bact PBP)",NA,NA,NA
854019,"D0TY5N","T78111",NA,"Nicotinic acetylcholine receptor (nAChR)",NA,NA,"Ion transport"
5312115,"D07WHS","T51408","ADRB3_HUMAN","Adrenergic receptor beta-3 (ADRB3)","ADRB3","Successful target","GPCR rhodopsin"
5312115,"D07WHS","T88729","UCP1_HUMAN","Mitochondrial uncoupling protein 1 (UCP1)","UCP1","Clinical trial target","Mitochondrial carrier"
5312115,"D07WHS","T84560","UCP2_HUMAN","Mitochondrial uncoupling protein 2 (UCP2)","UCP2","Clinical trial target","Mitochondrial carrier"
5312115,"D07WHS","T69146","UCP3_HUMAN","Mitochondrial uncoupling protein 3 (UCP3)","UCP3","Clinical trial target","Mitochondrial carrier"
6105572,"D05MCK","T92072","AA1R_HUMAN","Adenosine A1 receptor (ADORA1)","ADORA1","Successful target","GPCR rhodopsin"
2812,"D09GOS","T56923","CXCR2_HUMAN","C-X-C chemokine receptor type 2 (CXCR2)","CXCR2","Successful target","GPCR rhodopsin"
2143,"D03WGD","T28893","ACM1_HUMAN","Muscarinic acetylcholine receptor M1 (CHRM1)","CHRM1","Successful target","GPCR rhodopsin"
2143,"D03WGD","T55959","SC6A3_HUMAN","Dopamine transporter (DAT)","SLC6A3","Successful target","Neurotransmitter:sodium symporter"
2229,"D0I9LU","T67684","ACM3_HUMAN","Muscarinic acetylcholine receptor M3 (CHRM3)","CHRM3","Successful target","GPCR rhodopsin"
2229,"D0I9LU","T09130",NA,"Muscarinic acetylcholine receptor (CHRM)",NA,NA,NA
2913,"D00TLN","T77913","HRH1_HUMAN","Histamine H1 receptor (H1R)","HRH1","Successful target","GPCR rhodopsin"
42008,"D05UBX","T33193","FTSI_ECOLI","Bacterial Penicillin binding protein 3 (Bact mrcA)","Bact mrcA","Successful target","Hexosyltransferase"
4652,"D0F2GG","T76213","PH4H_HUMAN","Phenylalanine hydroxylase (PAH)","PAH","Successful target","Paired donor oxygen oxidoreductase"
4652,"D0F2GG","T78915","TPH1_HUMAN","Tryptophan 5-hydroxylase 1 (TPH1)","TPH1","Clinical trial target","Paired donor oxygen oxidoreductase"
2796,"D0J5DC","T28692","LIPL_HUMAN","Lipoprotein lipase (LPL)","LPL","Successful target","Carboxylic ester hydrolase"
6253,"D07XSN; D0XU9F","T37847","DPOL_HHV11","Herpes simplex virus DNA polymerase UL30 (HSV UL30)","HSV UL30","Successful target","DNA polymerase type-B"
6253,"D07XSN; D0XU9F","T47387","BCL2_HUMAN","BCL-2 messenger RNA (BCL2 mRNA)","BCL2","Clinical trial target","mRNA target"
6603977,"D0H1EI","T76914","KCNA3_HUMAN","Voltage-gated potassium channel Kv1.3 (KCNA3)","KCNA3","Clinical trial target","Voltage-gated ion channel"
51039,"D0PW7C","T34743",NA,"Bacterial Penicillin binding protein (Bact PBP)",NA,NA,NA
5926,"D02BOW","T67684","ACM3_HUMAN","Muscarinic acetylcholine receptor M3 (CHRM3)","CHRM3","Successful target","GPCR rhodopsin"
5926,"D02BOW","T09130",NA,"Muscarinic acetylcholine receptor (CHRM)",NA,NA,NA
1989,"D07WFK","T91480","ABCC8_HUMAN","ATP-binding cassette transporter C8 (ABCC8)","ABCC8","Successful target","ABC transporter"
5230,"D08LFC","T42446","GABR1_HUMAN; GABR2_HUMAN","Gamma-aminobutyric acid B receptor (GABBR)","GABBR1; GABBR2","Successful target","GPCR glutamate"
4397,"D0U6NZ","T36059","AA3R_HUMAN","Adenosine A3 receptor (ADORA3)","ADORA3","Clinical trial target","GPCR rhodopsin"
3452,"D09IHN","T59045","GABT_HUMAN","GABA transaminase (ABAT)","ABAT","Successful target","Transaminase"
5310992,"D0PM5R","T86679","AA2BR_HUMAN","Adenosine A2b receptor (ADORA2B)","ADORA2B","Successful target","GPCR rhodopsin"
5310992,"D0PM5R","T36059","AA3R_HUMAN","Adenosine A3 receptor (ADORA3)","ADORA3","Clinical trial target","GPCR rhodopsin"
5372720,"D0Y5TL","T77365","AA2AR_HUMAN","Adenosine A2a receptor (ADORA2A)","ADORA2A","Successful target","GPCR rhodopsin"
5372720,"D0Y5TL","T86679","AA2BR_HUMAN","Adenosine A2b receptor (ADORA2B)","ADORA2B","Successful target","GPCR rhodopsin"
5944,"D0Z2RA","T59845","PP1A_HUMAN","Serine/threonine PP1-alpha (PPP1CA)","PPP1CA","Successful target","Phosphoric monoester hydrolase"
2803,"D03SKR","T69619","AOC3_HUMAN","Membrane copper amine oxidase (AOC3)","AOC3","Successful target","CH-NH(2) donor oxidoreductase"
2803,"D03SKR","T31424",NA,"Adrenergic receptor Alpha-2 (ADRA2)",NA,NA,"GPCR rhodopsin"
5742673,"D0D1HA","T64410","VANY_ENTFA","Bacterial DD-carboxypeptidase (Bact vanYB)","Bact vanYB","Successful target","Peptidase"
2753,"D0J0CB","T33754",NA,"Phosphodiesterase 3 (PDE3)",NA,NA,"Phosphoric diester hydrolase"
657378,"D03RFA","T92072","AA1R_HUMAN","Adenosine A1 receptor (ADORA1)","ADORA1","Successful target","GPCR rhodopsin"
657378,"D03RFA","T77365","AA2AR_HUMAN","Adenosine A2a receptor (ADORA2A)","ADORA2A","Successful target","GPCR rhodopsin"
657378,"D03RFA","T86679","AA2BR_HUMAN","Adenosine A2b receptor (ADORA2B)","ADORA2B","Successful target","GPCR rhodopsin"
657378,"D03RFA","T13491","S29A1_HUMAN","Solute carrier family 29 member 1 (SLC29A1)","SLC29A1","Successful target",NA
657378,"D03RFA","T36059","AA3R_HUMAN","Adenosine A3 receptor (ADORA3)","ADORA3","Clinical trial target","GPCR rhodopsin"
657378,"D03RFA","T25889",NA,"Adenylate cyclase (ADCY)",NA,"Literature-reported target","Phosphorus-oxygen lyase"
2544,"D0M0TM","T59845","PP1A_HUMAN","Serine/threonine PP1-alpha (PPP1CA)","PPP1CA","Successful target","Phosphoric monoester hydrolase"
11401613,"D04ZIP","T55654","CFTR_HUMAN","cAMP-dependent chloride channel (CFTR)","CFTR","Successful target","ABC transporter"
2071,"D04JKL","T27137","GRM1_HUMAN","Metabotropic glutamate receptor 1 (mGluR1)","GRM1","Discontinued target","GPCR glutamate"
2253,"D05FZE","T73495","GRIK1_HUMAN","Glutamate receptor ionotropic kainate 1 (GRIK1)","GRIK1","Successful target","Glutamate-gated ion channel"
20469,"D07DVK","T68066","ERR1_HUMAN; ERR2_HUMAN; ERR3_HUMAN","Steroid hormone receptor ERR (ESRR)","ESRRA; ESRRB; ESRRG","Successful target","Nuclear hormone receptor"
5281787,"D06YGF","T83145","NFKB1_HUMAN; NFKB2_HUMAN; TF65_HUMAN; RELB_HUMAN; REL_HUMAN","Nuclear factor NF-kappa-B (NFKB)","NFKB1; NFKB2; RELA; RELB; REL","Successful target",NA
38103,"D06KKS","T34743",NA,"Bacterial Penicillin binding protein (Bact PBP)",NA,NA,NA
2762,"D07UXP","T96144","TOP2A_HUMAN; TOP2B_HUMAN","DNA topoisomerase II (TOP2)","TOP2A; TOP2B","Successful target","ATP-hydrolyzing DNA topoisomerase"
6604009,"D00VPT","T29683","NK3R_HUMAN","Neuromedin-K receptor (TACR3)","TACR3","Clinical trial target","GPCR rhodopsin"
4650,"D0M2EM","T30082","ACES_HUMAN","Acetylcholinesterase (AChE)","ACHE","Successful target","Carboxylic ester hydrolase"
4650,"D0M2EM","T99799","CHLE_HUMAN","Cholinesterase (BCHE)","BCHE","Successful target","Type-B carboxylesterase/lipase"
449241,"D09FFE","T20669","KAPCA_HUMAN","PRKACA messenger RNA (PRKACA mRNA)","PRKACA","Patented-recorded target","mRNA target"
5940264,"D09YUL","T00156","TRPC5_HUMAN","Short transient receptor potential channel 5 (TRPC5)","TRPC5","Clinical trial target","Transient receptor potential catioin channel"
5940264,"D09YUL","T11754",NA,"Fatty acid amide hydrolase (FAAH)",NA,NA,NA
26987,"D0C5XC","T77913","HRH1_HUMAN","Histamine H1 receptor (H1R)","HRH1","Successful target","GPCR rhodopsin"
289,"D07QJJ","T20401","CAH2_HUMAN","Carbonic anhydrase II (CA-II)","CA2","Successful target","Alpha-carbonic anhydrase"
289,"D07QJJ","T53378","CAH4_HUMAN","Carbonic anhydrase IV (CA-IV)","CA4","Successful target","Alpha-carbonic anhydrase"
289,"D07QJJ","T16987","CAH12_HUMAN","Carbonic anhydrase XII (CA-XII)","CA12","Successful target","Alpha-carbonic anhydrase"
289,"D07QJJ","T43920",NA,"Carbonic anhydrase (CA)",NA,NA,NA
6167,"D09DHY","T43189",NA,"Tubulin (TUB)",NA,NA,NA
439202,"D0V9FZ","T06046","NOS3_HUMAN","Nitric-oxide synthase endothelial (NOS3)","NOS3","Clinical trial target","Paired donor oxygen oxidoreductase"
2910,"D03CNS","T20401","CAH2_HUMAN","Carbonic anhydrase II (CA-II)","CA2","Successful target","Alpha-carbonic anhydrase"
9841284,"D02JCM","T92072","AA1R_HUMAN","Adenosine A1 receptor (ADORA1)","ADORA1","Successful target","GPCR rhodopsin"
9841284,"D02JCM","T86679","AA2BR_HUMAN","Adenosine A2b receptor (ADORA2B)","ADORA2B","Successful target","GPCR rhodopsin"
9841284,"D02JCM","T36059","AA3R_HUMAN","Adenosine A3 receptor (ADORA3)","ADORA3","Clinical trial target","GPCR rhodopsin"
24360,"D09YDM","T09826","TOP1_HUMAN","DNA topoisomerase I (TOP1)","TOP1","Successful target","Topoisomerase"
1329,"D02DLG; D0K0OT","T65116","5NTD_HUMAN","Ecto-5'-nucleotidase (CD73)","NT5E","Clinical trial target","Phosphoric monoester hydrolase"
1329,"D02DLG; D0K0OT","T92072","AA1R_HUMAN","Adenosine A1 receptor (ADORA1)","ADORA1","Successful target","GPCR rhodopsin"
1329,"D02DLG; D0K0OT","T77365","AA2AR_HUMAN","Adenosine A2a receptor (ADORA2A)","ADORA2A","Successful target","GPCR rhodopsin"
1329,"D02DLG; D0K0OT","T86679","AA2BR_HUMAN","Adenosine A2b receptor (ADORA2B)","ADORA2B","Successful target","GPCR rhodopsin"
1329,"D02DLG; D0K0OT","T36059","AA3R_HUMAN","Adenosine A3 receptor (ADORA3)","ADORA3","Clinical trial target","GPCR rhodopsin"
1329,"D02DLG; D0K0OT","T25663",NA,"Adenosine receptor (ADOR)",NA,NA,"GPCR rhodopsin"
1917,"D0L5JL","T92072","AA1R_HUMAN","Adenosine A1 receptor (ADORA1)","ADORA1","Successful target","GPCR rhodopsin"
4210951,"D0N4WB","T70977","GSK3B_HUMAN","Glycogen synthase kinase-3 beta (GSK-3B)","GSK3B","Clinical trial target","Kinase"
4210951,"D0N4WB","T94479","KS6B1_HUMAN","Ribosomal protein S6 kinase beta-1 (S6K1)","RPS6KB1","Clinical trial target","Kinase"
5139,"D0I7VD","T06046","NOS3_HUMAN","Nitric-oxide synthase endothelial (NOS3)","NOS3","Clinical trial target","Paired donor oxygen oxidoreductase"
5139,"D0I7VD","T02703","NOS2_HUMAN","Nitric-oxide synthase inducible (NOS2)","NOS2","Clinical trial target","Paired donor oxygen oxidoreductase"
9294,"D0LG8E","T67162","DRD2_HUMAN","Dopamine D2 receptor (D2R)","DRD2","Successful target","GPCR rhodopsin"
3202,"D0S5LH","T30082","ACES_HUMAN","Acetylcholinesterase (AChE)","ACHE","Successful target","Carboxylic ester hydrolase"
3194,"D0B1FE; D0X6SJ","T63068","ALBU_HUMAN","Serum albumin (ALB)","ALB","Successful target",NA
3194,"D0B1FE; D0X6SJ","T18904","KDM4A_HUMAN","Lysine-specific demethylase 4A (KDM4A)","KDM4A","Patented-recorded target","Paired donor oxygen oxidoreductase"
1809,"D02UWB","T78709","5HT1A_HUMAN","5-HT 1A receptor (HTR1A)","HTR1A","Successful target","GPCR rhodopsin"
1809,"D02UWB","T07806","5HT1B_HUMAN","5-HT 1B receptor (HTR1B)","HTR1B","Successful target","GPCR rhodopsin"
1809,"D02UWB","T32060","5HT2A_HUMAN","5-HT 2A receptor (HTR2A)","HTR2A","Successful target","GPCR rhodopsin"
1809,"D02UWB","T83813","5HT2C_HUMAN","5-HT 2C receptor (HTR2C)","HTR2C","Successful target","GPCR rhodopsin"
1809,"D02UWB","T31204","5HT2B_HUMAN","5-HT 2B receptor (HTR2B)","HTR2B","Successful target","GPCR rhodopsin"
1809,"D02UWB","T11072","5HT1D_HUMAN","5-HT 1D receptor (HTR1D)","HTR1D","Successful target","GPCR rhodopsin"
1809,"D02UWB","T78656","5HT1F_HUMAN","5-HT 1F receptor (HTR1F)","HTR1F","Successful target","GPCR rhodopsin"
