"cid","tid","TARGETID","keggid","keggname"
6172,"D05SJW","T46185","hsa04151","PI3K-Akt signaling pathway"
6172,"D05SJW","T46185","hsa04725","Cholinergic synapse"
6172,"D05SJW","T46185","hsa04810","Regulation of actin cytoskeleton"
4712,"D0W3ZN","T93566","hsa00590","Arachidonic acid metabolism"
4712,"D0W3ZN","T93566","hsa01100","Metabolic pathways"
4712,"D0W3ZN","T93566","hsa04726","Serotonergic synapse"
4712,"D0W3ZN","T93566","hsa04913","Ovarian steroidogenesis"
4712,"D0W3ZN","T93566","hsa05145","Toxoplasmosis"
1221,"D0G1UE","T33584","hsa04024","cAMP signaling pathway"
1221,"D0G1UE","T33584","hsa04080","Neuroactive ligand-receptor interaction"
1221,"D0G1UE","T33584","hsa04713","Circadian entrainment"
1221,"D0G1UE","T33584","hsa04720","Long-term potentiation"
1221,"D0G1UE","T33584","hsa04723","Retrograde endocannabinoid signaling"
1221,"D0G1UE","T33584","hsa04724","Glutamatergic synapse"
1221,"D0G1UE","T33584","hsa04728","Dopaminergic synapse"
1221,"D0G1UE","T33584","hsa04730","Long-term depression"
1221,"D0G1UE","T33584","hsa05014","Amyotrophic lateral sclerosis (ALS)"
1221,"D0G1UE","T33584","hsa05031","Amphetamine addiction"
1221,"D0G1UE","T33584","hsa05033","Nicotine addiction"
1221,"D0G1UE","T96235","hsa04024","cAMP signaling pathway"
1221,"D0G1UE","T96235","hsa04080","Neuroactive ligand-receptor interaction"
1221,"D0G1UE","T96235","hsa04713","Circadian entrainment"
1221,"D0G1UE","T96235","hsa04723","Retrograde endocannabinoid signaling"
1221,"D0G1UE","T96235","hsa04724","Glutamatergic synapse"
1221,"D0G1UE","T96235","hsa04728","Dopaminergic synapse"
1221,"D0G1UE","T96235","hsa05031","Amphetamine addiction"
1221,"D0G1UE","T96235","hsa05033","Nicotine addiction"
3538,"D0A9VO","T33584","hsa04024","cAMP signaling pathway"
3538,"D0A9VO","T33584","hsa04080","Neuroactive ligand-receptor interaction"
3538,"D0A9VO","T33584","hsa04713","Circadian entrainment"
3538,"D0A9VO","T33584","hsa04720","Long-term potentiation"
3538,"D0A9VO","T33584","hsa04723","Retrograde endocannabinoid signaling"
3538,"D0A9VO","T33584","hsa04724","Glutamatergic synapse"
3538,"D0A9VO","T33584","hsa04728","Dopaminergic synapse"
3538,"D0A9VO","T33584","hsa04730","Long-term depression"
3538,"D0A9VO","T33584","hsa05014","Amyotrophic lateral sclerosis (ALS)"
3538,"D0A9VO","T33584","hsa05031","Amphetamine addiction"
3538,"D0A9VO","T33584","hsa05033","Nicotine addiction"
3114,"D0M4YC","T39716","hsa04261","Adrenergic signaling in cardiomyocytes"
5281708,"D0SY2M","T89534","hsa04915","Estrogen signaling pathway"
5281708,"D0SY2M","T89534","hsa04917","Prolactin signaling pathway"
5281708,"D0SY2M","T89534","hsa04919","Thyroid hormone signaling pathway"
5281708,"D0SY2M","T89534","hsa04961","Endocrine and other factor-regulated calcium reabsorption"
5281708,"D0SY2M","T89534","hsa05205","Proteoglycans in cancer"
5281708,"D0SY2M","T26623","hsa00040","Pentose and glucuronate interconversions"
5281708,"D0SY2M","T26623","hsa00051","Fructose and mannose metabolism"
5281708,"D0SY2M","T26623","hsa00052","Galactose metabolism"
5281708,"D0SY2M","T26623","hsa00561","Glycerolipid metabolism"
5281708,"D0SY2M","T26623","hsa01100","Metabolic pathways"
5281708,"D0SY2M","T80896","hsa04915","Estrogen signaling pathway"
5281708,"D0SY2M","T80896","hsa04917","Prolactin signaling pathway"
3042,"D07XJM","T28893","hsa04020","Calcium signaling pathway"
3042,"D07XJM","T28893","hsa04024","cAMP signaling pathway"
3042,"D07XJM","T28893","hsa04080","Neuroactive ligand-receptor interaction"
3042,"D07XJM","T28893","hsa04151","PI3K-Akt signaling pathway"
3042,"D07XJM","T28893","hsa04725","Cholinergic synapse"
3042,"D07XJM","T28893","hsa04810","Regulation of actin cytoskeleton"
1609,"D0F3CA","T40332","hsa05202","Transcriptional misregulation in cancer"
1609,"D0F3CA","T40332","hsa05322","Systemic lupus erythematosus"
9926237,"D0A4RM","T78111","hsa04080","Neuroactive ligand-receptor interaction"
3505,"D0M7BW","T60693","hsa04080","Neuroactive ligand-receptor interaction"
1864,"D0S6SN","T97613","hsa04080","Neuroactive ligand-receptor interaction"
1864,"D0S6SN","T97613","hsa04713","Circadian entrainment"
28417,"D09IPV","T89534","hsa04915","Estrogen signaling pathway"
28417,"D09IPV","T89534","hsa04917","Prolactin signaling pathway"
28417,"D09IPV","T89534","hsa04919","Thyroid hormone signaling pathway"
28417,"D09IPV","T89534","hsa04961","Endocrine and other factor-regulated calcium reabsorption"
28417,"D09IPV","T89534","hsa05205","Proteoglycans in cancer"
132496,"D0A0ED","T75440","hsa04080","Neuroactive ligand-receptor interaction"
132496,"D0A0ED","T75440","hsa05166","HTLV-I infection"
446849,"D04SEX","T89534","hsa04915","Estrogen signaling pathway"
446849,"D04SEX","T89534","hsa04917","Prolactin signaling pathway"
446849,"D04SEX","T89534","hsa04919","Thyroid hormone signaling pathway"
446849,"D04SEX","T89534","hsa04961","Endocrine and other factor-regulated calcium reabsorption"
446849,"D04SEX","T89534","hsa05205","Proteoglycans in cancer"
446849,"D04SEX","T80896","hsa04915","Estrogen signaling pathway"
446849,"D04SEX","T80896","hsa04917","Prolactin signaling pathway"
8515,"D02PVB","T40097","hsa04010","MAPK signaling pathway"
8515,"D02PVB","T40097","hsa04012","ErbB signaling pathway"
8515,"D02PVB","T40097","hsa04014","Ras signaling pathway"
8515,"D02PVB","T40097","hsa04024","cAMP signaling pathway"
8515,"D02PVB","T40097","hsa04068","FoxO signaling pathway"
8515,"D02PVB","T40097","hsa04071","Sphingolipid signaling pathway"
8515,"D02PVB","T40097","hsa04141","Protein processing in endoplasmic reticulum"
8515,"D02PVB","T40097","hsa04310","Wnt signaling pathway"
8515,"D02PVB","T40097","hsa04380","Osteoclast differentiation"
8515,"D02PVB","T40097","hsa04510","Focal adhesion"
8515,"D02PVB","T40097","hsa04620","Toll-like receptor signaling pathway"
8515,"D02PVB","T40097","hsa04621","NOD-like receptor signaling pathway"
8515,"D02PVB","T40097","hsa04622","RIG-I-like receptor signaling pathway"
8515,"D02PVB","T40097","hsa04664","Fc epsilon RI signaling pathway"
8515,"D02PVB","T40097","hsa04668","TNF signaling pathway"
8515,"D02PVB","T40097","hsa04722","Neurotrophin signaling pathway"
8515,"D02PVB","T40097","hsa04723","Retrograde endocannabinoid signaling"
8515,"D02PVB","T40097","hsa04728","Dopaminergic synapse"
8515,"D02PVB","T40097","hsa04750","Inflammatory mediator regulation of TRP channels"
8515,"D02PVB","T40097","hsa04910","Insulin signaling pathway"
8515,"D02PVB","T40097","hsa04912","GnRH signaling pathway"
8515,"D02PVB","T40097","hsa04914","Progesterone-mediated oocyte maturation"
8515,"D02PVB","T40097","hsa04917","Prolactin signaling pathway"
8515,"D02PVB","T40097","hsa04920","Adipocytokine signaling pathway"
8515,"D02PVB","T40097","hsa04930","Type II diabetes mellitus"
8515,"D02PVB","T40097","hsa04932","Non-alcoholic fatty liver disease (NAFLD)"
8515,"D02PVB","T40097","hsa05120","Epithelial cell signaling in Helicobacter pylori infection"
8515,"D02PVB","T40097","hsa05131","Shigellosis"
8515,"D02PVB","T40097","hsa05132","Salmonella infection"
8515,"D02PVB","T40097","hsa05133","Pertussis"
8515,"D02PVB","T40097","hsa05142","Chagas disease (American trypanosomiasis)"
8515,"D02PVB","T40097","hsa05145","Toxoplasmosis"
8515,"D02PVB","T40097","hsa05152","Tuberculosis"
8515,"D02PVB","T40097","hsa05160","Hepatitis C"
8515,"D02PVB","T40097","hsa05161","Hepatitis B"
8515,"D02PVB","T40097","hsa05164","Influenza A"
8515,"D02PVB","T40097","hsa05166","HTLV-I infection"
8515,"D02PVB","T40097","hsa05168","Herpes simplex infection"
8515,"D02PVB","T40097","hsa05169","Epstein-Barr virus infection"
8515,"D02PVB","T40097","hsa05200","Pathways in cancer"
8515,"D02PVB","T40097","hsa05210","Colorectal cancer"
8515,"D02PVB","T40097","hsa05212","Pancreatic cancer"
8515,"D02PVB","T40097","hsa05231","Choline metabolism in cancer"
8515,"D02PVB","T74977","hsa04110","Cell cycle"
8515,"D02PVB","T00663","hsa04010","MAPK signaling pathway"
8515,"D02PVB","T00663","hsa04012","ErbB signaling pathway"
8515,"D02PVB","T00663","hsa04014","Ras signaling pathway"
8515,"D02PVB","T00663","hsa04024","cAMP signaling pathway"
8515,"D02PVB","T00663","hsa04068","FoxO signaling pathway"
8515,"D02PVB","T00663","hsa04071","Sphingolipid signaling pathway"
8515,"D02PVB","T00663","hsa04141","Protein processing in endoplasmic reticulum"
8515,"D02PVB","T00663","hsa04310","Wnt signaling pathway"
8515,"D02PVB","T00663","hsa04380","Osteoclast differentiation"
8515,"D02PVB","T00663","hsa04510","Focal adhesion"
8515,"D02PVB","T00663","hsa04620","Toll-like receptor signaling pathway"
8515,"D02PVB","T00663","hsa04621","NOD-like receptor signaling pathway"
8515,"D02PVB","T00663","hsa04622","RIG-I-like receptor signaling pathway"
8515,"D02PVB","T00663","hsa04664","Fc epsilon RI signaling pathway"
8515,"D02PVB","T00663","hsa04668","TNF signaling pathway"
8515,"D02PVB","T00663","hsa04722","Neurotrophin signaling pathway"
8515,"D02PVB","T00663","hsa04723","Retrograde endocannabinoid signaling"
8515,"D02PVB","T00663","hsa04728","Dopaminergic synapse"
8515,"D02PVB","T00663","hsa04750","Inflammatory mediator regulation of TRP channels"
8515,"D02PVB","T00663","hsa04910","Insulin signaling pathway"
8515,"D02PVB","T00663","hsa04912","GnRH signaling pathway"
8515,"D02PVB","T00663","hsa04914","Progesterone-mediated oocyte maturation"
8515,"D02PVB","T00663","hsa04917","Prolactin signaling pathway"
8515,"D02PVB","T00663","hsa04920","Adipocytokine signaling pathway"
8515,"D02PVB","T00663","hsa04930","Type II diabetes mellitus"
8515,"D02PVB","T00663","hsa04932","Non-alcoholic fatty liver disease (NAFLD)"
8515,"D02PVB","T00663","hsa05120","Epithelial cell signaling in Helicobacter pylori infection"
8515,"D02PVB","T00663","hsa05131","Shigellosis"
8515,"D02PVB","T00663","hsa05132","Salmonella infection"
8515,"D02PVB","T00663","hsa05133","Pertussis"
8515,"D02PVB","T00663","hsa05142","Chagas disease (American trypanosomiasis)"
8515,"D02PVB","T00663","hsa05145","Toxoplasmosis"
8515,"D02PVB","T00663","hsa05152","Tuberculosis"
8515,"D02PVB","T00663","hsa05160","Hepatitis C"
8515,"D02PVB","T00663","hsa05161","Hepatitis B"
8515,"D02PVB","T00663","hsa05164","Influenza A"
8515,"D02PVB","T00663","hsa05168","Herpes simplex infection"
8515,"D02PVB","T00663","hsa05169","Epstein-Barr virus infection"
8515,"D02PVB","T00663","hsa05200","Pathways in cancer"
8515,"D02PVB","T00663","hsa05210","Colorectal cancer"
8515,"D02PVB","T00663","hsa05212","Pancreatic cancer"
8515,"D02PVB","T00663","hsa05231","Choline metabolism in cancer"
8515,"D02PVB","T69375","hsa04010","MAPK signaling pathway"
8515,"D02PVB","T69375","hsa04012","ErbB signaling pathway"
8515,"D02PVB","T69375","hsa04014","Ras signaling pathway"
8515,"D02PVB","T69375","hsa04024","cAMP signaling pathway"
8515,"D02PVB","T69375","hsa04068","FoxO signaling pathway"
8515,"D02PVB","T69375","hsa04071","Sphingolipid signaling pathway"
8515,"D02PVB","T69375","hsa04141","Protein processing in endoplasmic reticulum"
8515,"D02PVB","T69375","hsa04310","Wnt signaling pathway"
8515,"D02PVB","T69375","hsa04380","Osteoclast differentiation"
8515,"D02PVB","T69375","hsa04510","Focal adhesion"
8515,"D02PVB","T69375","hsa04620","Toll-like receptor signaling pathway"
8515,"D02PVB","T69375","hsa04621","NOD-like receptor signaling pathway"
8515,"D02PVB","T69375","hsa04622","RIG-I-like receptor signaling pathway"
8515,"D02PVB","T69375","hsa04660","T cell receptor signaling pathway"
8515,"D02PVB","T69375","hsa04664","Fc epsilon RI signaling pathway"
8515,"D02PVB","T69375","hsa04668","TNF signaling pathway"
8515,"D02PVB","T69375","hsa04722","Neurotrophin signaling pathway"
8515,"D02PVB","T69375","hsa04723","Retrograde endocannabinoid signaling"
8515,"D02PVB","T69375","hsa04728","Dopaminergic synapse"
8515,"D02PVB","T69375","hsa04750","Inflammatory mediator regulation of TRP channels"
8515,"D02PVB","T69375","hsa04910","Insulin signaling pathway"
8515,"D02PVB","T69375","hsa04912","GnRH signaling pathway"
8515,"D02PVB","T69375","hsa04914","Progesterone-mediated oocyte maturation"
8515,"D02PVB","T69375","hsa04917","Prolactin signaling pathway"
8515,"D02PVB","T69375","hsa04920","Adipocytokine signaling pathway"
8515,"D02PVB","T69375","hsa04930","Type II diabetes mellitus"
8515,"D02PVB","T69375","hsa04932","Non-alcoholic fatty liver disease (NAFLD)"
8515,"D02PVB","T69375","hsa05120","Epithelial cell signaling in Helicobacter pylori infection"
8515,"D02PVB","T69375","hsa05131","Shigellosis"
8515,"D02PVB","T69375","hsa05132","Salmonella infection"
8515,"D02PVB","T69375","hsa05133","Pertussis"
8515,"D02PVB","T69375","hsa05142","Chagas disease (American trypanosomiasis)"
8515,"D02PVB","T69375","hsa05145","Toxoplasmosis"
8515,"D02PVB","T69375","hsa05152","Tuberculosis"
8515,"D02PVB","T69375","hsa05160","Hepatitis C"
8515,"D02PVB","T69375","hsa05161","Hepatitis B"
8515,"D02PVB","T69375","hsa05164","Influenza A"
8515,"D02PVB","T69375","hsa05168","Herpes simplex infection"
8515,"D02PVB","T69375","hsa05169","Epstein-Barr virus infection"
8515,"D02PVB","T69375","hsa05200","Pathways in cancer"
8515,"D02PVB","T69375","hsa05210","Colorectal cancer"
8515,"D02PVB","T69375","hsa05212","Pancreatic cancer"
8515,"D02PVB","T69375","hsa05231","Choline metabolism in cancer"
3637,"D0K1XK","T69619","hsa00260","Glycine, serine and threonine metabolism"
3637,"D0K1XK","T69619","hsa00350","Tyrosine metabolism"
3637,"D0K1XK","T69619","hsa00360","Phenylalanine metabolism"
3637,"D0K1XK","T69619","hsa00410","beta-Alanine metabolism"
3637,"D0K1XK","T69619","hsa01100","Metabolic pathways"
3604,"D0YN5P","T01318","hsa00240","Pyrimidine metabolism"
3604,"D0YN5P","T01318","hsa01100","Metabolic pathways"
3604,"D0YN5P","T78111","hsa04080","Neuroactive ligand-receptor interaction"
29435,"D0S5LT","T92777","hsa00052","Galactose metabolism"
29435,"D0S5LT","T92777","hsa00500","Starch and sucrose metabolism"
29435,"D0S5LT","T92777","hsa01100","Metabolic pathways"
29435,"D0S5LT","T92777","hsa04973","Carbohydrate digestion and absorption"
29435,"D0S5LT","T31514","hsa00052","Galactose metabolism"
29435,"D0S5LT","T31514","hsa00500","Starch and sucrose metabolism"
29435,"D0S5LT","T31514","hsa01100","Metabolic pathways"
29435,"D0S5LT","T31514","hsa04142","Lysosome"
6047,"D08HVR","T67162","hsa04015","Rap1 signaling pathway"
6047,"D08HVR","T67162","hsa04024","cAMP signaling pathway"
6047,"D08HVR","T67162","hsa04080","Neuroactive ligand-receptor interaction"
6047,"D08HVR","T67162","hsa04540","Gap junction"
6047,"D08HVR","T67162","hsa04728","Dopaminergic synapse"
6047,"D08HVR","T67162","hsa05012","Parkinson's disease"
6047,"D08HVR","T67162","hsa05030","Cocaine addiction"
6047,"D08HVR","T67162","hsa05034","Alcoholism"
3108,"D0F9GE; D0R4NR","T07663","hsa00230","Purine metabolism"
3108,"D0F9GE; D0R4NR","T07663","hsa04022","cGMP-PKG signaling pathway"
5754,"D0KR5B","T40016","hsa04080","Neuroactive ligand-receptor interaction"
3639,"D0U4UQ","T82577","hsa04614","Renin-angiotensin system"
3639,"D0U4UQ","T82577","hsa05142","Chagas disease (American trypanosomiasis)"
3639,"D0U4UQ","T82577","hsa05410","Hypertrophic cardiomyopathy (HCM)"
3153,"D0X2NO","T22118","hsa04020","Calcium signaling pathway"
3153,"D0X2NO","T22118","hsa04024","cAMP signaling pathway"
3153,"D0X2NO","T22118","hsa04080","Neuroactive ligand-receptor interaction"
3153,"D0X2NO","T22118","hsa04540","Gap junction"
3153,"D0X2NO","T22118","hsa04728","Dopaminergic synapse"
3153,"D0X2NO","T22118","hsa05012","Parkinson's disease"
3153,"D0X2NO","T22118","hsa05030","Cocaine addiction"
3153,"D0X2NO","T22118","hsa05031","Amphetamine addiction"
3153,"D0X2NO","T22118","hsa05032","Morphine addiction"
3153,"D0X2NO","T22118","hsa05034","Alcoholism"
3153,"D0X2NO","T46828","hsa04020","Calcium signaling pathway"
3153,"D0X2NO","T46828","hsa04024","cAMP signaling pathway"
3153,"D0X2NO","T46828","hsa04080","Neuroactive ligand-receptor interaction"
3153,"D0X2NO","T46828","hsa04728","Dopaminergic synapse"
167715,"D06LQH","T67162","hsa04015","Rap1 signaling pathway"
167715,"D06LQH","T67162","hsa04024","cAMP signaling pathway"
167715,"D06LQH","T67162","hsa04080","Neuroactive ligand-receptor interaction"
167715,"D06LQH","T67162","hsa04540","Gap junction"
167715,"D06LQH","T67162","hsa04728","Dopaminergic synapse"
167715,"D06LQH","T67162","hsa05012","Parkinson's disease"
167715,"D06LQH","T67162","hsa05030","Cocaine addiction"
167715,"D06LQH","T67162","hsa05034","Alcoholism"
167715,"D06LQH","T22118","hsa04020","Calcium signaling pathway"
167715,"D06LQH","T22118","hsa04024","cAMP signaling pathway"
167715,"D06LQH","T22118","hsa04080","Neuroactive ligand-receptor interaction"
167715,"D06LQH","T22118","hsa04540","Gap junction"
167715,"D06LQH","T22118","hsa04728","Dopaminergic synapse"
167715,"D06LQH","T22118","hsa05012","Parkinson's disease"
167715,"D06LQH","T22118","hsa05030","Cocaine addiction"
167715,"D06LQH","T22118","hsa05031","Amphetamine addiction"
167715,"D06LQH","T22118","hsa05032","Morphine addiction"
167715,"D06LQH","T22118","hsa05034","Alcoholism"
167715,"D06LQH","T02551","hsa04080","Neuroactive ligand-receptor interaction"
167715,"D06LQH","T02551","hsa04728","Dopaminergic synapse"
167715,"D06LQH","T46828","hsa04020","Calcium signaling pathway"
167715,"D06LQH","T46828","hsa04024","cAMP signaling pathway"
167715,"D06LQH","T46828","hsa04080","Neuroactive ligand-receptor interaction"
167715,"D06LQH","T46828","hsa04728","Dopaminergic synapse"
5040063,"D0Y8UF","T89534","hsa04915","Estrogen signaling pathway"
5040063,"D0Y8UF","T89534","hsa04917","Prolactin signaling pathway"
5040063,"D0Y8UF","T89534","hsa04919","Thyroid hormone signaling pathway"
5040063,"D0Y8UF","T89534","hsa04961","Endocrine and other factor-regulated calcium reabsorption"
5040063,"D0Y8UF","T89534","hsa05205","Proteoglycans in cancer"
123895,"D0GL9I","T06046","hsa00330","Arginine and proline metabolism"
123895,"D0GL9I","T06046","hsa01100","Metabolic pathways"
123895,"D0GL9I","T06046","hsa04020","Calcium signaling pathway"
123895,"D0GL9I","T06046","hsa04022","cGMP-PKG signaling pathway"
123895,"D0GL9I","T06046","hsa04066","HIF-1 signaling pathway"
123895,"D0GL9I","T06046","hsa04071","Sphingolipid signaling pathway"
123895,"D0GL9I","T06046","hsa04151","PI3K-Akt signaling pathway"
123895,"D0GL9I","T06046","hsa04370","VEGF signaling pathway"
123895,"D0GL9I","T06046","hsa04611","Platelet activation"
123895,"D0GL9I","T06046","hsa04915","Estrogen signaling pathway"
123895,"D0GL9I","T06046","hsa04921","Oxytocin signaling pathway"
123895,"D0GL9I","T16117","hsa00330","Arginine and proline metabolism"
123895,"D0GL9I","T16117","hsa01100","Metabolic pathways"
123895,"D0GL9I","T16117","hsa04020","Calcium signaling pathway"
123895,"D0GL9I","T16117","hsa04145","Phagosome"
123895,"D0GL9I","T16117","hsa04713","Circadian entrainment"
123895,"D0GL9I","T16117","hsa04730","Long-term depression"
123895,"D0GL9I","T16117","hsa04970","Salivary secretion"
123895,"D0GL9I","T16117","hsa05010","Alzheimer's disease"
123895,"D0GL9I","T16117","hsa05014","Amyotrophic lateral sclerosis (ALS)"
123895,"D0GL9I","T02703","hsa00220","Arginine biosynthesis"
123895,"D0GL9I","T02703","hsa00330","Arginine and proline metabolism"
123895,"D0GL9I","T02703","hsa01100","Metabolic pathways"
123895,"D0GL9I","T02703","hsa04020","Calcium signaling pathway"
123895,"D0GL9I","T02703","hsa04066","HIF-1 signaling pathway"
123895,"D0GL9I","T02703","hsa04146","Peroxisome"
123895,"D0GL9I","T02703","hsa05132","Salmonella infection"
123895,"D0GL9I","T02703","hsa05133","Pertussis"
123895,"D0GL9I","T02703","hsa05140","Leishmaniasis"
123895,"D0GL9I","T02703","hsa05142","Chagas disease (American trypanosomiasis)"
123895,"D0GL9I","T02703","hsa05145","Toxoplasmosis"
123895,"D0GL9I","T02703","hsa05146","Amoebiasis"
123895,"D0GL9I","T02703","hsa05152","Tuberculosis"
123895,"D0GL9I","T02703","hsa05200","Pathways in cancer"
123895,"D0GL9I","T02703","hsa05222","Small cell lung cancer"
161930,"D04ULU","T84040","hsa04750","Inflammatory mediator regulation of TRP channels"
161930,"D04ULU","T41955","hsa04750","Inflammatory mediator regulation of TRP channels"
1242,"D0OU7P","T22118","hsa04020","Calcium signaling pathway"
1242,"D0OU7P","T22118","hsa04024","cAMP signaling pathway"
1242,"D0OU7P","T22118","hsa04080","Neuroactive ligand-receptor interaction"
1242,"D0OU7P","T22118","hsa04540","Gap junction"
1242,"D0OU7P","T22118","hsa04728","Dopaminergic synapse"
1242,"D0OU7P","T22118","hsa05012","Parkinson's disease"
1242,"D0OU7P","T22118","hsa05030","Cocaine addiction"
1242,"D0OU7P","T22118","hsa05031","Amphetamine addiction"
1242,"D0OU7P","T22118","hsa05032","Morphine addiction"
1242,"D0OU7P","T22118","hsa05034","Alcoholism"
5018,"D0L8PI","T22118","hsa04020","Calcium signaling pathway"
5018,"D0L8PI","T22118","hsa04024","cAMP signaling pathway"
5018,"D0L8PI","T22118","hsa04080","Neuroactive ligand-receptor interaction"
5018,"D0L8PI","T22118","hsa04540","Gap junction"
5018,"D0L8PI","T22118","hsa04728","Dopaminergic synapse"
5018,"D0L8PI","T22118","hsa05012","Parkinson's disease"
5018,"D0L8PI","T22118","hsa05030","Cocaine addiction"
5018,"D0L8PI","T22118","hsa05031","Amphetamine addiction"
5018,"D0L8PI","T22118","hsa05032","Morphine addiction"
5018,"D0L8PI","T22118","hsa05034","Alcoholism"
1229,"D07XTU","T32060","hsa04020","Calcium signaling pathway"
1229,"D07XTU","T32060","hsa04080","Neuroactive ligand-receptor interaction"
1229,"D07XTU","T32060","hsa04540","Gap junction"
1229,"D07XTU","T32060","hsa04726","Serotonergic synapse"
1229,"D07XTU","T32060","hsa04750","Inflammatory mediator regulation of TRP channels"
1229,"D07XTU","T31204","hsa04020","Calcium signaling pathway"
1229,"D07XTU","T31204","hsa04080","Neuroactive ligand-receptor interaction"
1229,"D07XTU","T31204","hsa04540","Gap junction"
1229,"D07XTU","T31204","hsa04726","Serotonergic synapse"
1229,"D07XTU","T31204","hsa04750","Inflammatory mediator regulation of TRP channels"
1220,"D0O3GF","T78709","hsa04024","cAMP signaling pathway"
1220,"D0O3GF","T78709","hsa04080","Neuroactive ligand-receptor interaction"
1220,"D0O3GF","T78709","hsa04726","Serotonergic synapse"
1220,"D0O3GF","T07806","hsa04024","cAMP signaling pathway"
1220,"D0O3GF","T07806","hsa04080","Neuroactive ligand-receptor interaction"
1220,"D0O3GF","T07806","hsa04726","Serotonergic synapse"
1220,"D0O3GF","T11072","hsa04024","cAMP signaling pathway"
1220,"D0O3GF","T11072","hsa04080","Neuroactive ligand-receptor interaction"
1220,"D0O3GF","T11072","hsa04726","Serotonergic synapse"
3657,"D07CWD","T38301","hsa00230","Purine metabolism"
3657,"D07CWD","T38301","hsa00240","Pyrimidine metabolism"
3657,"D07CWD","T38301","hsa00480","Glutathione metabolism"
3657,"D07CWD","T38301","hsa01100","Metabolic pathways"
3657,"D07CWD","T38301","hsa04115","p53 signaling pathway"
3014059,"D0A2KT","T67684","hsa04020","Calcium signaling pathway"
3014059,"D0A2KT","T67684","hsa04080","Neuroactive ligand-receptor interaction"
3014059,"D0A2KT","T67684","hsa04725","Cholinergic synapse"
3014059,"D0A2KT","T67684","hsa04810","Regulation of actin cytoskeleton"
3014059,"D0A2KT","T67684","hsa04911","Insulin secretion"
3014059,"D0A2KT","T67684","hsa04970","Salivary secretion"
3014059,"D0A2KT","T67684","hsa04971","Gastric acid secretion"
3014059,"D0A2KT","T67684","hsa04972","Pancreatic secretion"
3151,"D0AV3G","T67162","hsa04015","Rap1 signaling pathway"
3151,"D0AV3G","T67162","hsa04024","cAMP signaling pathway"
3151,"D0AV3G","T67162","hsa04080","Neuroactive ligand-receptor interaction"
3151,"D0AV3G","T67162","hsa04540","Gap junction"
3151,"D0AV3G","T67162","hsa04728","Dopaminergic synapse"
3151,"D0AV3G","T67162","hsa05012","Parkinson's disease"
3151,"D0AV3G","T67162","hsa05030","Cocaine addiction"
3151,"D0AV3G","T67162","hsa05034","Alcoholism"
4943,"D0A3HB","T11754","hsa04723","Retrograde endocannabinoid signaling"
60703,"D0S8CI","T62276","hsa04014","Ras signaling pathway"
60703,"D0S8CI","T62276","hsa04015","Rap1 signaling pathway"
60703,"D0S8CI","T62276","hsa04020","Calcium signaling pathway"
60703,"D0S8CI","T62276","hsa04024","cAMP signaling pathway"
60703,"D0S8CI","T62276","hsa04080","Neuroactive ligand-receptor interaction"
60703,"D0S8CI","T62276","hsa04713","Circadian entrainment"
60703,"D0S8CI","T62276","hsa04720","Long-term potentiation"
60703,"D0S8CI","T62276","hsa04724","Glutamatergic synapse"
60703,"D0S8CI","T62276","hsa05010","Alzheimer's disease"
60703,"D0S8CI","T62276","hsa05014","Amyotrophic lateral sclerosis (ALS)"
60703,"D0S8CI","T62276","hsa05016","Huntington's disease"
60703,"D0S8CI","T62276","hsa05030","Cocaine addiction"
60703,"D0S8CI","T62276","hsa05031","Amphetamine addiction"
60703,"D0S8CI","T62276","hsa05033","Nicotine addiction"
60703,"D0S8CI","T62276","hsa05034","Alcoholism"
60703,"D0S8CI","T76414","hsa04014","Ras signaling pathway"
60703,"D0S8CI","T76414","hsa04015","Rap1 signaling pathway"
60703,"D0S8CI","T76414","hsa04024","cAMP signaling pathway"
60703,"D0S8CI","T76414","hsa04080","Neuroactive ligand-receptor interaction"
60703,"D0S8CI","T76414","hsa04713","Circadian entrainment"
60703,"D0S8CI","T76414","hsa04720","Long-term potentiation"
60703,"D0S8CI","T76414","hsa04724","Glutamatergic synapse"
60703,"D0S8CI","T76414","hsa04728","Dopaminergic synapse"
60703,"D0S8CI","T76414","hsa05010","Alzheimer's disease"
60703,"D0S8CI","T76414","hsa05014","Amyotrophic lateral sclerosis (ALS)"
60703,"D0S8CI","T76414","hsa05016","Huntington's disease"
60703,"D0S8CI","T76414","hsa05030","Cocaine addiction"
60703,"D0S8CI","T76414","hsa05031","Amphetamine addiction"
60703,"D0S8CI","T76414","hsa05033","Nicotine addiction"
60703,"D0S8CI","T76414","hsa05034","Alcoholism"
60703,"D0S8CI","T76414","hsa05322","Systemic lupus erythematosus"
3870203,"D09AYR","T76904","hsa00140","Steroid hormone biosynthesis"
3870203,"D09AYR","T76904","hsa00350","Tyrosine metabolism"
3870203,"D09AYR","T76904","hsa01100","Metabolic pathways"
3870203,"D09AYR","T76904","hsa04728","Dopaminergic synapse"
154417,"D0RD5W","T79961","hsa04020","Calcium signaling pathway"
154417,"D0RD5W","T79961","hsa04080","Neuroactive ligand-receptor interaction"
154417,"D0RD5W","T79961","hsa04725","Cholinergic synapse"
154417,"D0RD5W","T79961","hsa04810","Regulation of actin cytoskeleton"
785,"D03UOT","T97035","hsa00350","Tyrosine metabolism"
